中小企業事業資金　資金別、業種別あっせん状況,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
業種別,件数総数（件）,金額総数（円）,運転資金件数（件）,運転資金金額（円）,設備資金件数（件）,設備資金金額（円）,短期特別資金件数（件）,短期特別資金金額（円）,借換資金件数（件）,借換資金金額（円）,創業資金Ａ件数（件）,創業資金Ａ金額（円）,創業資金Ｂ件数（件）,創業資金Ｂ金額（円）,商店会加入者特別資金件数（件）,商店会加入者特別資金金額（円）,経営革新創造資金件数（件）,経営革新創造資金金額（円）,小規模事業者支援資金件数（件）,小規模事業者支援資金金額（円）,環境配慮型事業者支援資金件数（件）,環境配慮型事業者支援資金金額（円）,創業資金S件数（件）,創業資金S金額（円）,小口零細企業保証資金（件）,小口零細企業保証資金（円）,事業承継支援資金（件）,事業承継支援資金（円）,商工業団体事業資金（件）,商工業団体事業資金（円）,新型コロナウイルス感染症対策特別資金（件）,新型コロナウイルス感染症対策特別資金（円）,新型コロナウイルス感染症対策特別資金（４号型）（件）,新型コロナウイルス感染症対策特別資金（４号型）（円）,新型コロナウイルス感染症対策特別資金（５号型）（件）,新型コロナウイルス感染症対策特別資金（５号型）（円）
2015年土木・建設・工事,113,"636,230,000",23,"160,900,000",5,"38,700,000", -  , -  ,4,"33,470,000",3,"15,000,000",1,"5,000,000",3,"18,000,000", -  , -  ,65,"334,760,000", -  , -  , -  , -  ,9,"30,400,000",-,-,-,-,-,-,-,-,-,-
2015年製造業,27,"109,420,000",7,"42,500,000",4,"17,980,000", -  , -  ,,  -  ,  -  ,  -  ,1,"5,000,000", -  , -  ,1,"840,000",13,"41,100,000", -  , -  , -  , -  ,1,"2,000,000",-,-,-,-,-,-,-,-,-,-
2015年卸売業,11,"60,400,000",1,"10,000,000",1,"2,600,000", -  , -  ,1,"5,000,000",1,"4,000,000", -  , -  ,2,"12,000,000", -  , -  ,3,"19,500,000", -  , -  , -  , -  ,2,"7,300,000",-,-,-,-,-,-,-,-,-,-
2015年小売業,59,"273,900,000",16,"83,320,000",5,"19,380,000", -  , -  ,2,"8,000,000",1,"2,000,000", -  , -  ,5,"30,000,000", -  , -  ,25,"108,400,000", -  , -  ,1,"1,000,000",4,"21,800,000",-,-,-,-,-,-,-,-,-,-
2015年飲食業,36,"158,630,000",6,"36,000,000",5,"30,250,000", -  , -  ,  -  ,  -  ,5,"30,780,000", -  , -  ,4,"19,000,000",1,"7,000,000",15,"35,600,000", -  , -  , - , -  ,  -  ,  -  ,-,-,-,-,-,-,-,-,-,-
2015年サービス業,164,"685,650,000",39,"222,500,000",15,"44,350,000", -  , -  ,2,"13,000,000",5,"18,500,000",6,"25,000,000",6,"34,100,000",1,"4,500,000",76,"279,400,000", -  , -  ,2,"4,100,000",12,"40,200,000",-,-,-,-,-,-,-,-,-,-
2015年合計,410,"1,924,230,000",92,"555,220,000",35,"153,260,000", -  , -  ,9,"59,470,000",15,"70,280,000",8,"35,000,000",20,"113,100,000",3,"12,340,000",197,"818,760,000", -  , -  ,3,"5,100,000",28,"101,700,000",-,-,-,-,-,-,-,-,-,-
2016年土木・建設・工事,114,"600,600,000",32,"231,200,000",4,"24,800,000", -  , -  ,1,"4,500,000", -  , -  , -  , -  ,5,"18,000,000", -  , -  ,71,"317,100,000", -  , -  ,1,"5,000,000", -  , -  ,-,-,-,-,-,-,-,-,-,-
2016年製造業,16,"74,600,000",5,"36,000,000", -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  , -  ,11,"38,600,000", -  , -  , -  , -  , -  , -  ,-,-,-,-,-,-,-,-,-,-
2016年卸売業,12,"77,260,000",4,"34,500,000", -  , -  , -  , -  , -  , -  ,1,"4,000,000", -  , -  ,1,"2,000,000", -  , -  ,5,"30,500,000", -  , -  ,1,"6,260,000", -  , -  ,-,-,-,-,-,-,-,-,-,-
2016年小売業,56,"268,100,000",16,"102,960,000",4,"17,690,000",1,"5,000,000",1,"10,000,000", -  ,, -  , -  ,8,"30,180,000", -  , -  ,24,"74,770,000", -  , -  ,2,"27,500,000", -  , -  ,-,-,-,-,-,-,-,-,-,-
2016年飲食業,39,"142,500,000",11,"51,600,000",1,"1,400,000", -  ,, -  ,, -  ,,4,"17,500,000",6,"13,600,000", -  , -  ,16,"51,400,000", -  , -  ,1,"7,000,000", -  , -  ,-,-,-,-,-,-,-,-,-,-
