年月,西暦（年）,月,総合,生鮮食品を除く総合,持家の帰属家賃を除く総合,食料,住居,持家の帰属家賃を除く住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費
平成30年9月,2018,9,99.6,99.4,99.5,98.8,99.1,97.5,101,95,99.4,99,100,108.2,99,99.9
平成30年10月,2018,10,99.9,99.8,99.9,98.8,99.1,97.7,101.8,96.5,99.3,99,100.2,108.2,100.4,100.6
平成30年11月,2018,11,99.6,99.8,99.6,97.7,99.1,97.7,102.4,97,99.7,98.9,100,108.2,100,100.7
平成30年12月,2018,12,99.4,99.7,99.3,97.3,99.1,97.6,103,96.2,98,98.8,99.6,108.2,100.4,100.6
平成31年1月,2019,1,99.5,99.4,99.4,98.6,99.2,97.8,103.8,96.3,94.4,98.8,99.4,108.2,99.1,100.4
平成31年2月,2019,2,99.6,99.7,99.5,98.1,99.2,97.9,104.7,97.3,95.5,98.8,99.5,108.2,100,100.4
平成31年3月,2019,3,99.6,99.8,99.5,97.7,99.3,98,105,97.3,97.2,98.9,99.9,108.3,99.1,100.8
平成31年4月,2019,4,100,100.2,100,98,99.3,98,104.6,98.3,98.9,99,99.6,109,101.3,101.1
令和元年5月,2019,5,99.8,100.1,99.8,98,99.4,98.1,104,98.2,98.8,99.2,99.5,109,100.2,100.8
令和元年6月,2019,6,99.8,99.9,99.7,98.4,99.4,98.1,103.4,98.2,98.1,99,98.5,109,100.3,100.8
令和元年7月,2019,7,99.7,99.8,99.6,98.5,99.4,98.2,102.8,98.2,96.1,99.1,99.5,109,99.4,100.9
令和元年8月,2019,8,100,100.2,100.1,98.6,99.4,98.1,102.1,97.8,95.8,99.1,100,109,102.7,101.1
令和元年9月,2019,9,100,99.9,100,99.4,99.4,98.2,101.1,98,98.9,99.1,98.9,109,99.9,101.2
令和元年10月,2019,10,100.3,100.3,100.4,99.9,99.7,99.5,100.8,99.8,101,100,99.9,101.6,102.6,99.5
令和元年11月,2019,11,100.3,100.4,100.5,99.8,99.7,99.5,102,99.7,101.8,99.8,100.1,101.6,102.1,99.7
令和元年12月,2019,12,100.4,100.5,100.5,99.6,99.6,99.4,102.3,99.1,101,99.7,100.5,101.6,103.2,99.5
令和2年1月,2020,1,100.2,100.2,100.3,100.2,99.8,99.6,102.1,98.5,97.8,100,100.7,102.4,100.6,99.7
令和2年2月,2020,2,100.1,100.2,100.2,99.7,99.8,99.6,101.8,99.6,98.1,100,100.2,102.5,101,99.9
令和2年3月,2020,3,100.1,100.3,100.2,99.5,99.8,99.6,101.9,99.3,99.3,100.2,100.2,102.5,101.4,99.9
令和2年4月,2020,4,100.3,100.2,100.4,100.4,99.8,99.6,102,99.1,100.7,99.9,99.2,100.1,102.4,99.7
令和2年5月,2020,5,100.3,100.3,100.4,100.4,100.1,100.1,102.1,99.5,100.5,100,99.3,99,102.5,99.9
令和2年6月,2020,6,100,100.1,100,100.1,100.1,100.1,101.9,99.3,100.4,100.2,99.2,97.2,101.1,99.8
令和2年7月,2020,7,100.2,100.2,100.2,100.3,100.1,100.1,101.3,99.7,98.7,100.3,100.4,99.4,100.6,99.8
令和2年8月,2020,8,100.2,99.9,100.2,101.1,100,100.1,100.6,99.6,98.1,100,100.7,98.9,99.3,99.9
令和2年9月,2020,9,99.8,99.7,99.8,100.2,100.1,100.2,99.1,100,101.4,99.9,99.9,99.2,97.8,100.1
令和2年10月,2020,10,99.9,99.8,99.8,100.2,100.1,100.3,97.3,101.4,101.9,99.8,100,99.6,97.8,100.5
令和2年11月,2020,11,99.6,99.7,99.4,99.3,100.2,100.3,95.6,102.7,102.4,99.8,100,99.6,97.3,100.6
令和2年12月,2020,12,99.3,99.5,99,98.5,100.2,100.4,94.2,101.3,100.8,99.9,100.1,99.6,98.2,100.2
令和3年1月,2021,1,99.7,99.7,99.6,99.7,100.4,101,93.5,101.1,97.8,99.8,100.1,99.6,101.1,100.2
令和3年2月,2021,2,99.8,99.8,99.7,99.5,100.4,101.3,93.7,102.1,98.2,100,100,99.5,100.8,100.8
令和3年3月,2021,3,99.8,100,99.7,99.1,100.4,101.4,94.7,102.6,99.8,99.9,99.8,99.5,101.2,100.8
令和3年4月,2021,4,99.1,99.3,98.9,98.9,100.3,101.2,96.4,102.7,101.2,99.6,91.6,100.6,101.9,101.1
令和3年5月,2021,5,99.5,99.6,99.3,99.2,100.4,101.3,98.9,102.3,101,99.8,91.9,100.9,102.4,101
令和3年6月,2021,6,99.5,99.5,99.4,99.7,100.4,101.3,99.7,102,100.8,99.7,91.8,101,101.5,101
令和3年7月,2021,7,99.8,99.8,99.7,99.7,100.4,101.3,100.1,103.2,99.4,99.7,92.7,101,103,101.1
令和3年8月,2021,8,99.8,99.9,99.7,99.8,100.6,101.6,99.8,103.9,99,99.9,91.7,101,103.9,101
令和3年9月,2021,9,100.1,99.8,100.1,101.3,100.6,101.8,101.2,103.4,101.4,99.8,91.3,101,101.8,101.3
前月比(％)／令和2年9月,2020,9,-0.4,-0.2,-0.4,-0.9,0,0,-1.5,0.5,3.3,-0.1,-0.8,0.3,-1.5,0.3
前月比(％)／令和2年10月,2020,10,0,0,0,0,0.1,0.2,-1.8,1.4,0.5,-0.1,0.1,0.4,-0.1,0.4
前月比(％)／令和2年11月,2020,11,-0.3,-0.1,-0.4,-0.9,0.1,0,-1.8,1.3,0.5,0,0,0,-0.4,0.1
前月比(％)／令和2年12月,2020,12,-0.3,-0.2,-0.4,-0.9,0,0,-1.5,-1.4,-1.6,0,0.2,0,0.9,-0.4
前月比(％)／令和3年1月,2021,1,0.5,0.2,0.6,1.3,0.2,0.6,-0.8,-0.2,-2.9,0,-0.1,0,2.9,0
前月比(％)／令和3年2月,2021,2,0,0.1,0.1,-0.2,0.1,0.3,0.2,1,0.4,0.2,0,-0.1,-0.3,0.6
前月比(％)／令和3年3月,2021,3,0,0.1,0.1,-0.4,-0.1,0.1,1.1,0.5,1.7,-0.1,-0.2,0,0.4,0
前月比(％)／令和3年4月,2021,4,-0.6,-0.6,-0.8,-0.3,-0.1,-0.2,1.7,0.1,1.4,-0.3,-8.2,1.1,0.7,0.3
前月比(％)／令和3年5月,2021,5,0.3,0.3,0.4,0.4,0.1,0.1,2.6,-0.4,-0.2,0.2,0.4,0.3,0.5,-0.1
前月比(％)／令和3年6月,2021,6,0,-0.1,0.1,0.5,0,0,0.8,-0.3,-0.2,0,-0.2,0.1,-0.9,0
前月比(％)／令和3年7月,2021,7,0.2,0.3,0.3,-0.1,0,0,0.4,1.2,-1.4,0,1,0,1.5,0.1
前月比(％)／令和3年8月,2021,8,0,0,0,0.1,0.2,0.3,-0.3,0.7,-0.4,0.1,-1.1,0,0.9,-0.1
前月比(％)／令和3年9月,2021,9,0.3,0,0.4,1.6,0.1,0.2,1.4,-0.6,2.4,-0.1,-0.4,0,-2,0.3
前年同月比(％)／令和2年9月,2020,9,0.2,-0.2,0.2,1.9,0.7,2,-2,2.6,2.8,0.8,0.9,-8.8,-2.1,-1.2
前年同月比(％)／令和2年10月,2020,10,-0.3,-0.5,-0.4,0.9,0.4,0.8,-3.4,1.5,1.6,-0.1,0,-1.8,-4.4,1
前年同月比(％)／令和2年11月,2020,11,-0.8,-0.7,-1,-0.6,0.5,0.9,-6.3,2.2,1.1,0.2,-0.4,-1.8,-4.1,1.1
前年同月比(％)／令和2年12月,2020,12,-1.2,-0.9,-1.5,-1.3,0.6,1,-7.9,1.8,-0.1,0.2,-0.6,-1.8,-4.4,0.9
前年同月比(％)／令和3年1月,2021,1,-0.5,-0.4,-0.7,-0.5,0.6,1.4,-8.5,2.6,0.1,-0.1,-0.7,-2.7,0.5,0.5
前年同月比(％)／令和3年2月,2021,2,-0.3,-0.4,-0.5,-0.1,0.7,1.7,-8,2.5,0.1,0,-0.2,-2.9,-0.2,1
前年同月比(％)／令和3年3月,2021,3,-0.4,-0.3,-0.5,-0.3,0.6,1.8,-7.1,3.3,0.6,-0.3,-0.3,-2.9,-0.2,0.9
前年同月比(％)／令和3年4月,2021,4,-1.2,-0.9,-1.5,-1.5,0.5,1.6,-5.5,3.6,0.5,-0.3,-7.7,0.4,-0.5,1.4
前年同月比(％)／令和3年5月,2021,5,-0.9,-0.7,-1.1,-1.1,0.3,1.2,-3.1,2.8,0.5,-0.2,-7.4,2,-0.1,1
前年同月比(％)／令和3年6月,2021,6,-0.5,-0.6,-0.6,-0.4,0.3,1.2,-2.2,2.7,0.4,-0.5,-7.5,3.9,0.4,1.1
前年同月比(％)／令和3年7月,2021,7,-0.4,-0.3,-0.5,-0.7,0.3,1.2,-1.2,3.5,0.7,-0.6,-7.7,1.6,2.4,1.3
前年同月比(％)／令和3年8月,2021,8,-0.4,0,-0.5,-1.3,0.5,1.5,-0.8,4.4,0.9,-0.2,-9,2.1,4.6,1.2
前年同月比(％)／令和3年9月,2021,9,0.3,0.1,0.3,1.1,0.6,1.6,2.2,3.3,0,-0.1,-8.6,1.8,4.1,1.1
,,,,,,,,,,,,,,,,
東京の物価／令和３年９月,,,,,,,,,,,,,,,,
１．東京都区部消費者物価１０大費目指数（月別）,,,,,,,,,,,,,,,,
２０２０年＝１００／（令和２年＝１００）,,,,,,,,,,,,,,,,
