階層,類・品目符号,含類総連番,品目,ウエイト(生鮮食品),ウエイト,2020年12月,2021年7月,2021年8月,2021年9月,2021年10月,2021年11月,2021年12月,2021年12月変化率（％）/前月比,2021年12月変化率（％）/前年同月比
0,1,1,総合,,10000,99.3,99.8,99.8,100.1,99.9,100,100,0,0.8
1,2,2,食料,,2529,98.5,99.7,99.8,101.1,100.5,100.6,100.4,-0.2,2
3,3,3,食料／穀類,,182,99,98.3,98.3,97.6,97.6,98,97,-1,-2
5,4,4,食料／穀類／米類,,48,100,96.9,95.5,93,93.1,93,92.7,-0.3,-7.3
6,1001,5,食料／穀類／米類／うるち米Ａ,,18,100.1,98.8,96.2,94.3,92.6,94.3,93,-1.4,-7.1
6,1002,6,食料／穀類／米類／うるち米Ｂ,,31,99.9,95.7,95,92.3,93.3,92.2,92.5,0.3,-7.4
5,5,7,食料／穀類／パン,,79,98.7,98.4,99.6,99.1,98.7,99.3,98.3,-1,-0.4
6,1021,8,食料／穀類／パン／食パン,,31,99.1,98.7,98.8,98.4,97.7,98.8,97.2,-1.7,-1.9
6,1022,9,食料／穀類／パン／あんパン,,33,98.8,98.4,101.2,100.5,99.6,99.6,99.4,-0.2,0.6
6,1023,10,食料／穀類／パン／カレーパン,,16,97.9,97.6,97.9,97.6,98.5,99.5,98.2,-1.3,0.3
5,6,11,食料／穀類／麺類,,41,99.1,98.9,98.7,98.9,100,100.4,99,-1.4,-0.1
6,1031,12,食料／穀類／麺類／ゆでうどん,,7,98,98.7,98.5,99,98.1,99.3,99.2,-0.1,1.3
6,1041,13,食料／穀類／麺類／そうめん,,5,104.2,94.8,92.8,99.4,102.3,101.7,101.7,0,-2.4
6,1042,14,食料／穀類／麺類／スパゲッティ,,4,95.3,97.2,94.4,97.8,98.1,97.8,95.8,-2,0.6
6,1051,15,食料／穀類／麺類／カップ麺,,14,99.1,101.6,102.2,99.8,102.5,102.5,99.3,-3.1,0.2
6,1052,16,食料／穀類／麺類／中華麺,,11,98.7,98.4,98.6,97.8,97.8,98.8,98.2,-0.6,-0.5
5,7,17,食料／穀類／他の穀類,,13,97.4,101.5,99.4,100.9,100.1,101.1,99.3,-1.8,1.9
6,1071,18,食料／穀類／他の穀類／小麦粉,,2,98.4,101,102.6,105.3,105.8,106.6,104,-2.4,5.7
6,1081,19,食料／穀類／他の穀類／もち,,6,96.8,102.4,99,101.6,98.2,96.2,94.4,-1.9,-2.5
6,1090,20,食料／穀類／他の穀類／シリアル,,5,97.8,100.5,98.5,98,99.9,105.1,103.8,-1.3,6.1
3,8,21,食料／魚介類,,175,98.8,101.2,101.9,104.5,104.4,106.8,107.9,1,9.2
5,9,22,食料／魚介類／生鮮魚介,,102,98.3,101.6,102.7,106.9,107,110.7,112.2,1.4,14.2
6,1101,23,食料／魚介類／生鮮魚介／まぐろ,29,27,101.5,103.2,101.3,107.1,111,121,123,1.7,21.2
6,1102,24,食料／魚介類／生鮮魚介／あじ,2,4,90.9,88,100.7,107.6,90.8,101.6,78.9,-22.4,-13.2
6,1103,25,食料／魚介類／生鮮魚介／いわし,1,1,123.4,92.9,114,130.9,120.8,124.8,141.6,13.4,14.7
6,1104,26,食料／魚介類／生鮮魚介／かつお,- ,5,- ,97.1,94.9,94.9,97.3,- ,- ,- ,- 
6,1106,27,食料／魚介類／生鮮魚介／さけ,15,17,95.8,101.1,97.8,101.6,102.9,100.9,102.4,1.4,6.9
6,1107,28,食料／魚介類／生鮮魚介／さば,2,2,97,103.8,108.4,109.9,106.5,102.2,94.2,-7.8,-2.8
6,1108,29,食料／魚介類／生鮮魚介／さんま,1,2,94.7,87.8,111.8,145.1,124.1,115.6,104.7,-9.5,10.5
6,1110,30,食料／魚介類／生鮮魚介／たい,3,3,96.4,95.2,98.2,96.4,97.2,98.4,100,1.6,3.7
6,1111,31,食料／魚介類／生鮮魚介／ぶり,15,10,95.8,104.3,109,109,116.6,115.5,123.2,6.7,28.6
6,1112,32,食料／魚介類／生鮮魚介／いか,4,6,89.1,108.8,115.4,115.3,96.3,111,108.6,-2.1,21.9
6,1113,33,食料／魚介類／生鮮魚介／たこ,6,5,98.1,108.5,111.3,115,116.3,123.9,125.6,1.4,28.1
6,1114,34,食料／魚介類／生鮮魚介／えび,14,9,100,97,97.1,93.5,92.7,95.8,98.2,2.5,-1.8
6,1131,35,食料／魚介類／生鮮魚介／あさり,2,3,105.9,111.3,116.4,113.2,111.1,112.4,112,-0.3,5.8
6,1132,36,食料／魚介類／生鮮魚介／かき（貝）,5,2,98.8,- ,- ,- ,110.5,103.1,101.2,-1.9,2.4
6,1133,37,食料／魚介類／生鮮魚介／ほたて貝,4,3,97,101,104.8,106,111.3,109.7,111,1.1,14.4
5,10,38,食料／魚介類／塩干魚介,,31,100,102.3,101.6,102.5,102.2,103.4,104.2,0.7,4.2
6,1141,39,食料／魚介類／塩干魚介／塩さけ,,7,99.4,104,102.4,104.7,102.5,103.3,105.9,2.5,6.5
6,1142,40,食料／魚介類／塩干魚介／たらこ,,8,98.1,98.9,99.3,100.2,99.2,100.8,101.1,0.2,3.1
6,1143,41,食料／魚介類／塩干魚介／しらす干し,,7,99.1,98.1,96.5,97.3,98.5,98.6,97.4,-1.2,-1.7
6,1144,42,食料／魚介類／塩干魚介／干しあじ,,3,99.8,106,106,105.8,107.5,110.5,107.1,-3,7.3
6,1146,43,食料／魚介類／塩干魚介／煮干し,,1,100.7,101.1,100,101.5,100.7,101.2,100.5,-0.7,-0.2
6,1150,44,食料／魚介類／塩干魚介／ししゃも,,1,105.8,108.6,108.7,106.4,106.6,107.9,109,1,3
6,1167,45,食料／魚介類／塩干魚介／いくら,,3,106.4,112,112.1,111.4,112.9,114.8,122.5,6.7,15.1
5,11,46,食料／魚介類／魚肉練製品,,17,100.2,100.3,100.2,101.1,100.2,101,100.2,-0.9,0
6,1151,47,食料／魚介類／魚肉練製品／揚げかまぼこ,,5,99,100.8,100.9,103,101.4,103.9,102,-1.8,3.1
6,1152,48,食料／魚介類／魚肉練製品／ちくわ,,3,102.1,101.5,100.6,101.5,99.6,100,98.6,-1.3,-3.3
6,1153,49,食料／魚介類／魚肉練製品／かまぼこ,,8,100.1,99.5,99.5,99.6,99.6,99.6,99.6,0,-0.5
5,12,50,食料／魚介類／他の魚介加工品,,26,98.6,99.2,99.9,99.4,99.5,99.1,99.9,0.8,1.4
6,1161,51,食料／魚介類／他の魚介加工品／かつお節,,3,98.9,98.7,102,100.8,101.9,100.9,100.5,-0.4,1.6
6,1165,52,食料／魚介類／他の魚介加工品／魚介漬物,,11,99.2,100.5,100.4,100.7,99.2,99.8,100.1,0.3,0.9
6,1166,53,食料／魚介類／他の魚介加工品／魚介つくだ煮,,3,99.6,99.3,99,99.4,99.2,100.4,100.6,0.1,1
6,1173,54,食料／魚介類／他の魚介加工品／魚介缶詰,,9,97.4,97.7,99.2,97.4,99.3,97.6,99.3,1.8,1.9
3,13,55,食料／肉類,,221,99.8,101.2,101,101.7,101.5,101.9,102.2,0.3,2.4
5,14,56,食料／肉類／生鮮肉,,180,100,101.9,101.6,102.5,102.4,102.9,103.4,0.5,3.4
6,1201,57,食料／肉類／生鮮肉／牛肉（国産品）,,37,100.6,102.3,103.4,100.4,101.4,101.5,104,2.4,3.3
6,1203,58,食料／肉類／生鮮肉／牛肉（輸入品）,,25,100.3,103.5,103.3,105,107.4,108.3,106.8,-1.4,6.5
6,1211,59,食料／肉類／生鮮肉／豚肉（国産品）,,48,100.7,102,100,102.3,101.3,102.7,103.4,0.7,2.6
6,1214,60,食料／肉類／生鮮肉／豚肉（輸入品）,,32,96.8,97.8,100,101.6,100.3,100.3,100.8,0.5,4.2
6,1221,61,食料／肉類／生鮮肉／鶏肉,,38,100.9,103.6,101.9,103.7,102.9,103.3,102.8,-0.5,1.8
5,15,62,食料／肉類／加工肉,,41,98.9,98.2,98.3,98.2,97.4,97.3,97.1,-0.3,-1.8
6,1252,63,食料／肉類／加工肉／ハム,,13,99.7,101.1,101.3,100.1,99.6,99.8,99.2,-0.5,-0.4
6,1261,64,食料／肉類／加工肉／ソーセージ,,16,99,97.1,97.8,98.9,98.1,97.2,97.5,0.2,-1.5
6,1271,65,食料／肉類／加工肉／ベーコン,,7,98.3,98.2,99.1,98,96.2,98.1,98.2,0.1,-0.1
6,1292,66,食料／肉類／加工肉／味付け肉,,4,97.1,93.4,89.7,89.8,90.2,88.9,87.1,-2.1,-10.3
3,16,67,食料／乳卵類,,117,99.5,100.1,100.5,100.8,99.9,99.7,98.1,-1.6,-1.4
4,17,68,食料／乳卵類／牛乳・乳製品,,96,99.6,99.3,99.8,100.2,98.9,98.6,96.8,-1.9,-2.8
5,18,69,食料／乳卵類／牛乳・乳製品／牛乳,,37,99.9,101,100.4,99.9,100,99.5,99.6,0.1,-0.4
6,1303,70,食料／乳卵類／牛乳・乳製品／牛乳／牛乳,,37,99.9,101,100.4,99.9,100,99.5,99.6,0.1,-0.4
5,19,71,食料／乳卵類／牛乳・乳製品／乳製品,,59,99.3,98.3,99.4,100.3,98.2,98.1,95,-3.1,-4.3
6,1311,72,食料／乳卵類／牛乳・乳製品／乳製品／粉ミルク,,2,98.8,98.8,99.7,99.7,101.2,101.1,101.2,0.2,2.5
6,1333,73,食料／乳卵類／牛乳・乳製品／乳製品／ヨーグルト,,34,98.9,97.9,98.9,100,98.6,99.5,95.7,-3.8,-3.3
6,1321,74,食料／乳卵類／牛乳・乳製品／乳製品／バター,,4,100.2,100.6,100.6,100.6,100.3,100.4,100.6,0.2,0.4
6,1331,75,食料／乳卵類／牛乳・乳製品／乳製品／チーズ（国産品）,,11,100.6,98.8,100.2,101.6,95.9,92.3,91.2,-1.2,-9.4
6,1332,76,食料／乳卵類／牛乳・乳製品／乳製品／チーズ（輸入品）,,8,98.9,97.8,99.5,99.8,97.8,98.5,93.2,-5.4,-5.8
4,20,77,食料／乳卵類／卵,,21,99.5,104,103.9,103.9,104.7,104.9,104.4,-0.4,4.9
6,1341,78,食料／乳卵類／卵／鶏卵,,21,99.5,104,103.9,103.9,104.7,104.9,104.4,-0.4,4.9
