年月,西暦（年）,月,1101まぐろ(100g)/円,1102あじ(100g)/円,1103いわし(100g)/円,1116かつお(100g)/円,1106さけ(100g)/円,1107さば(100g)/円,1108さんま(100g)/円,1110たい(100g)/円,1111ぶり(100g)/円,1112いか(100g)/円,1113たこ(100g)/円,1114えび(100g)/円,1131あさり(100g)/円,1132かき(貝)(100g)/円,1133ほたて貝(100g)/円,1401キャベツ(1kg)/円,1402ほうれんそう(1kg)/円,1403はくさい(1kg)/円,1405ねぎ(1kg)/円,1406レタス(1kg)/円,1407もやし(1kg)/円,1409ブロッコリー(1kg)/円,1410アスパラガス(1kg)/円,1411さつまいも(1kg)/円,1412じゃがいも(1kg)/円,1413さといも(1kg)/円,1414だいこん(1kg)/円,1415にんじん(1kg)/円,1416ごぼう(1kg)/円,1417たまねぎ(1kg)/円,1419れんこん(1kg)/円,1420ながいも(1kg)/円,1421しょうが(1kg)/円,1430えだまめ(1kg)/円,1432さ　やいんげん(1kg)/円,1433かぼちゃ(1kg)/円,1434きゅうり(1kg)/円,1435なす(1kg)/円,1436トマト(1kg)/円,1437ピーマン(1kg)/円,1438生しいたけ(1kg)/円,1441にがうり(1kg)/円,1442えのきたけ(1kg)/円,1443しめじ(1kg)/円,1444カット野菜(1kg)/円,1501りんご(つがる)(1kg)/円,1502りんご(ふじ又はつがる)(1kg)/円,1511みかん(1kg)/円,1514グレープフルーツ(1kg)/円,1515オレンジ(1kg)/円,1517しらぬひ(1kg)/円,1521梨(1kg)/円,1531ぶどう(デラウェア)(1kg)/円,1532ぶどう(巨峰)(1kg)/円,1541柿(1kg)/円,1551桃(1kg)/円,1561すいか(1kg)/円,1563メロン(1kg)/円,1571いちご(1kg)/円,1572さくらんぼ(1kg)/円,1581バナナ(1kg)/円,1582キウイフルーツ(1kg)/円,1583アボカド(1kg)/円,9181切り花(カーネーション)(1本)/円,9182切り花(きく)(1本)/円,9183切り花(バラ)(1本)/円
令和３年１月,2021,1,432,111,94,...,364,109,133,605,257,142,345,315,130,356,267,184,988,119,798,519,158,672,2160,571,356,726,169,372,871,245,1026,804,1593,...,2539,515,692,846,643,1021,1625,...,554,760,507,...,481,652,400,508,...,...,...,...,...,...,...,...,1944,...,241,992,745,196,230,338
令和３年２月,2021,2,425,109,90,...,357,110,138,611,260,146,342,312,130,355,262,158,763,121,839,445,158,508,1760,555,395,757,164,372,967,251,989,799,1558,...,2443,521,671,877,616,1203,1662,...,537,736,507,...,475,737,415,511,797,...,...,...,...,...,...,...,1873,...,253,1040,697,195,225,339
令和３年２月上旬,2021,2上,417,100,92,...,...,105,137,605,257,145,...,...,...,350,...,175,851,120,812,488,...,539,1824,...,...,...,172,...,...,245,984,...,...,...,2467,513,705,888,635,1177,...,...,...,...,...,...,480,707,...,...,806,...,...,...,...,...,...,...,1912,...,...,...,...,194,225,333
令和３年２月中旬,2021,2中,422,110,89,...,357,106,140,606,266,137,342,312,130,357,262,156,772,123,868,465,158,530,1773,555,395,757,163,372,967,256,976,799,1558,...,2387,498,688,909,609,1263,1662,...,537,736,507,...,480,720,415,511,782,...,...,...,...,...,...,...,1845,...,253,1040,697,195,225,344
令和３年２月下旬,2021,2下,435,116,90,...,...,118,138,622,258,155,...,...,...,357,...,144,665,119,837,382,...,456,1682,...,...,...,157,...,...,252,1006,...,...,...,2474,551,619,835,602,1167,...,...,...,...,...,...,465,782,...,...,802,...,...,...,...,...,...,...,1864,...,...,...,...,195,226,339
令和３年３月上旬,2021,3上,416,101,93,205,...,100,133,572,270,149,...,...,...,341,...,142,622,121,876,351,...,441,1729,...,...,...,151,...,...,255,963,...,...,...,2400,545,564,759,598,1115,...,1128,...,...,...,...,428,808,...,...,701,...,...,...,...,...,...,...,1832,...,...,...,...,198,229,350
令和３年３月中旬,2021,3中,432,90,97,204,356,104,132,605,262,139,350,316,124,346,269,134,649,115,831,310,157,448,1706,552,423,760,147,413,1016,253,992,785,1569,...,2298,541,589,752,616,1070,1600,1000,499,683,502,...,452,840,411,506,745,...,...,...,...,...,...,...,1882,...,247,1045,746,204,237,367
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
銘柄改正年月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
費目名等,,,【食料（生鮮食品及び切り花）】,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／令和３年３月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
７． 主 要 品 目 の 東 京 都 区 部 小 売 価 格,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
