年月,西暦（年）,月,総合,財,財／生鮮食品を除く財,財／農水畜産物,財／農水畜産物／生鮮商品,財／農水畜産物／他の農水畜産物,財／農水畜産物／他の農水畜産物／米類,財／工業製品,財／工業製品／食料工業製品,財／工業製品／繊維製品,財／工業製品／石油製品,財／工業製品／他の工業製品,財／電気・都市ガス・水道,財／出版物,サービス,サービス/持家の帰属家賃を除くサービス,サービス/公共サービス,サービス/一般サービス,サービス/一般サービス／外食,サービス/一般サービス／民営家賃,サービス/一般サービス／民営家賃／民営家賃（木造）,サービス/一般サービス／民営家賃／民営家賃（非木造）,サービス/一般サービス／持家の帰属家賃,サービス/一般サービス／持家の帰属家賃／持家の帰属家賃（木造）,サービス/一般サービス／持家の帰属家賃／持家の帰属家賃（非木造）,サービス/一般サービス／他のサービス,耐久消費財,半耐久消費財,非耐久消費財,公共料金,
前月比(％)／令和2年9月,2020,9,-0.2,0.2,0.3,-0.4,-0.4,-0.6,-0.6,0.6,0,3.8,0.7,0.2,-1.7,0.2,-0.5,-0.7,-0.7,-0.4,0,0,0,0,0,0,0.1,-1.2,-0.2,2.7,-0.3,-1,
前月比(％)／令和2年10月,2020,10,-0.1,-0.3,0.1,-2,-2,-0.9,-0.9,0.4,0.1,1.2,-1,0.6,-2,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0.1,0,0,0.1,0.2,0.5,0.7,-0.6,-0.4,
前月比(％)／令和2年11月,2020,11,-0.5,-1.1,-0.2,-5,-5.4,-0.3,-0.3,0,-0.3,0.3,-1.4,0.3,-2,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,-0.1,0.1,0.3,-1.6,-0.6,
前月比(％)／令和2年12月,2020,12,-0.4,-1.1,-0.7,-2.5,-2.8,1.3,1.3,-0.7,-0.3,-1.8,1.7,-0.8,-1.7,-0.2,0.2,0.3,0,0.2,-0.1,0,0,0,0,0,0.1,0.6,-0.9,-1.4,-1,-0.5,
前月比(％)／令和3年1月,2021,1,0.4,0.1,-0.5,3.4,3.8,-1.8,-1.8,-0.5,0.4,-3.4,1.8,-0.4,-0.9,0.2,0.6,0.9,0.6,0.6,0,-0.1,-0.1,-0.1,0,0.1,-0.1,1.7,-0.6,-2.4,0.9,0.1,
前月比(％)／令和3年2月,2021,2,0.1,0.3,0.5,-0.6,-0.6,0.4,0.4,0.6,0.1,0.7,2.8,0.9,0.2,0,-0.1,-0.1,0,-0.1,-0.1,0,0,0,0,0,0,-0.3,1.2,0.9,0.1,0,
前月比(％)／令和3年3月,2021,3,0.1,0.1,0.4,-1.5,-1.6,-0.3,-0.3,0.3,0,2,4,-0.2,1.3,0.2,0.1,0.3,0.4,0.1,0.1,0,-0.1,0,-0.1,-0.2,-0.1,0.3,-0.1,1.1,-0.1,0.7,
前月比(％)／令和3年4月,2021,4,-0.2,0.3,0.4,-0.6,-0.5,-1.5,-1.5,0.2,-0.1,1.5,2.2,0,2,0.2,-0.6,-0.9,-0.3,-0.7,-0.2,0,0,0,0,0,0,-1.7,-0.5,0.9,0.3,0.4,
前月比(％)／令和3年5月,2021,5,0.2,0.6,0.4,1.1,1,1.5,1.5,0.1,0.1,-0.3,0.3,0.2,3,0,0,0,0.3,-0.1,0,0,-0.1,0,0,0,0.1,-0.3,0.4,0,0.7,1.1,
前月比寄与度,,,0.3,0.25,0.17,0.07,0.07,0.01,0.01,0.02,0.01,-0.01,0,0.03,0.15,0,0,-0.01,0.03,-0.03,0,0,0,0,0.01,0,0.01,-0.05,0.02,0,0.23,0.18,
前年同月比(％)／令和2年5月,2020,5,0.4,1.2,0.8,3.3,3.6,-0.5,-0.5,1.4,1.2,2.6,-14.4,2.3,-2.3,1.2,-0.2,-0.4,-2.6,0.4,2.9,0.1,0.4,0,0.1,0.4,-0.1,0,2.6,2.3,0.8,-2.4,
前年同月比(％)／令和2年6月,2020,6,0.3,1.1,1,1.4,1.6,-0.5,-0.5,1.5,1,2.6,-10,2.5,-1.8,1.2,-0.3,-0.6,-2.8,0.3,2.9,0,0.4,-0.1,0.1,0.4,-0.1,-0.3,2.8,2.4,0.5,-2.4,
前年同月比(％)／令和2年7月,2020,7,0.6,1.2,0.8,3,3.2,0.7,0.7,1.4,0.6,2.8,-7.8,2.4,-1.8,0.9,0.1,0,-3,0.9,2.8,0,0.4,0,0.1,0.4,-0.1,1.3,2.6,2.4,0.8,-2.6,
前年同月比(％)／令和2年8月,2020,8,0.3,1.9,0.8,7.6,8,2,2,1.3,0.4,2.5,-5.7,2.3,-1.8,0.9,-1,-1.5,-3.3,-0.4,2.8,0,0.3,0,0.1,0.3,-0.1,-2.1,2.5,2.4,1.7,-2.7,
前年同月比(％)／令和2年9月,2020,9,0.2,1.4,0.8,4.7,5.1,-0.1,-0.1,1.3,0.1,2.3,-3.9,2.7,-2.5,1.1,-0.8,-1.3,-3.3,-0.2,2.8,0.1,0.3,0.1,0.1,0.3,0,-1.6,2.3,3.4,0.8,-2.9,
前年同月比(％)／令和2年10月,2020,10,-0.3,0.4,0,2.6,2.9,-1.2,-1.2,0.7,0,1.3,-8.4,1.8,-4,0.3,-0.8,-1.3,-0.1,-1,0.8,0.3,0.3,0.3,0.3,0.3,0.2,-3.2,2,2,-0.2,-1.1,
前年同月比(％)／令和2年11月,2020,11,-0.8,-0.8,-0.6,-1.4,-1.4,-2.2,-2.2,0.4,-0.4,0.8,-9,1.9,-7.3,0.5,-0.8,-1.3,-0.1,-0.9,0.2,0.4,0.3,0.4,0.3,0.2,0.3,-3,1.7,1.8,-1.8,-2.1,
前年同月比(％)／令和2年12月,2020,12,-1.2,-1.7,-1.2,-3.6,-3.8,-1.1,-1.1,-0.1,-0.6,0.4,-8.4,0.8,-8.9,0.3,-0.7,-1.3,-0.2,-0.9,0.1,0.5,0.3,0.6,0.5,0.2,0.6,-3,0.8,0.5,-2.6,-2.7,
前年同月比(％)／令和3年1月,2021,1,-0.5,-1.4,-1.3,-1.1,-1,-2.8,-2.8,-0.1,-0.4,0.9,-9.3,0.6,-9.6,0.4,0.2,0.1,0.3,0.1,0.1,0.3,0.1,0.3,0.3,0.2,0.3,0,0.8,0.2,-2.1,-2.6,
前年同月比(％)／令和3年2月,2021,2,-0.3,-0.8,-0.9,0.2,0.4,-2.5,-2.5,0.3,-0.2,0.6,-5.1,1.2,-9.1,0.4,0.1,0.1,0.3,0.1,0,0.2,-0.1,0.2,0.3,0.3,0.3,-0.1,1,0.7,-1.5,-2.4,
前年同月比(％)／令和3年3月,2021,3,-0.2,-0.6,-0.5,-0.4,-0.2,-3,-3,0.5,-0.2,1.3,1.7,1,-8.1,0.5,0.2,0.2,0.4,0.1,0,0,-0.5,0.1,0.1,0,0.1,0.3,1.2,1,-1.3,-2,
前年同月比(％)／令和3年4月,2021,4,-0.6,-0.9,-0.1,-4.2,-4.3,-2.6,-2.6,0.8,-0.2,0.9,11.9,1.2,-6.3,0.7,-0.3,-0.5,0.5,-0.5,0,0,0,0,0.1,0.1,0.1,-1.5,1,0.8,-1.5,-1.4,
前年同月比(％)／令和3年5月,2021,5,-0.4,-0.4,0.1,-3,-3.3,-0.5,-0.5,0.7,-0.3,0.6,17.5,1,-3.6,0.7,-0.3,-0.5,0.6,-0.6,0,0,-0.3,0.1,0,-0.2,0.1,-1.5,0.4,0.7,-0.8,-0.5,
前年同月比寄与度,,,-0.4,-0.18,0.04,-0.22,-0.22,0,0,0.21,-0.05,0.03,0.12,0.11,-0.19,0.01,-0.19,-0.19,0.06,-0.26,0,0,0,0,0,-0.02,0.01,-0.26,0.02,0.05,-0.26,-0.09,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京の物価／令和３年５月,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
５．東京都区部消費者物価財・サービス分類指数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,   ,,
 ２０１５年＝１００／(平成２７年＝１００),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
