"年度[西暦]","区分","算定額[千円]","対前年度比較増減額[千円]","増減率[%]"
"2019","基準財政収入額Ａ 特別区税 特別区民税","64027862",,
"2019","基準財政収入額Ａ 特別区税 軽自動車税環境性能割","864",,
"2019","基準財政収入額Ａ 特別区税 軽自動車税種別割","63664",,
"2019","基準財政収入額Ａ 特別区税 特別区たばこ税","4912687",,
"2019","基準財政収入額Ａ 利子割交付金","199736",,
"2019","基準財政収入額Ａ 配当割交付金","1019841",,
"2019","基準財政収入額Ａ 株式等譲渡所得割交付金","658947",,
"2019","基準財政収入額Ａ 地方消費税交付金","9896514",,
"2019","基準財政収入額Ａ 自動車取得税交付金","105715",,
"2019","基準財政収入額Ａ 環境性能割交付金","37341",,
"2019","基準財政収入額Ａ 地方特例交付金","74239",,
"2019","基準財政収入額Ａ 地方揮発油譲与税","120732",,
"2019","基準財政収入額Ａ 自動車重量譲与税","320155",,
"2019","基準財政収入額Ａ 森林環境譲与税","9584",,
"2019","基準財政収入額Ａ 交通安全対策特別交付金","40879",,
"2019","基準財政収入額Ａ 特例加減算額","-4907045",,
"2019","基準財政収入額Ａ 合計","76581715",,
"2019","基準財政需要額Ｂ 単位費用 経常的経費","50965134",,
"2019","基準財政需要額Ｂ 単位費用 投資的経費","10918340",,
"2019","基準財政需要額Ｂ 合計","61883474",,
"2019","普通交付金（Ｂ－Ａ）※ Ｂ≦Ａのときは ０","0",,
"2020","基準財政収入額Ａ 特別区税 特別区民税","66013624","1985762","3.1"
"2020","基準財政収入額Ａ 特別区税 軽自動車税環境性能割","3064","2200","254.6"
"2020","基準財政収入額Ａ 特別区税 軽自動車税種別割","63233","-431","-0.7"
"2020","基準財政収入額Ａ 特別区税 特別区たばこ税","4840305","-72382","-1.5"
"2020","基準財政収入額Ａ 利子割交付金","193197","-6539","-3.3"
"2020","基準財政収入額Ａ 配当割交付金","997047","-22794","-2.2"
"2020","基準財政収入額Ａ 株式等譲渡所得割交付金","554019","-104928","-15.9"
"2020","基準財政収入額Ａ 地方消費税交付金","11381869","1485355","15.0"
"2020","基準財政収入額Ａ 自動車取得税交付金",,"-105715",
"2020","基準財政収入額Ａ 環境性能割交付金","97655","60314","161.5"
"2020","基準財政収入額Ａ 地方特例交付金","79377","5138","6.9"
"2020","基準財政収入額Ａ 地方揮発油譲与税","116936","-3796","-3.1"
"2020","基準財政収入額Ａ 自動車重量譲与税","319716","-439","-0.1"
"2020","基準財政収入額Ａ 森林環境譲与税","20366","10782","112.5"
"2020","基準財政収入額Ａ 交通安全対策特別交付金","38539","-2340","-5.7"
"2020","基準財政収入額Ａ 特例加減算額","-4504962","402083","8.2"
"2020","基準財政収入額Ａ 合計","80213985","3632270","4.7"
"2020","基準財政需要額Ｂ 単位費用 経常的経費","53410537","2445403","4.8"
"2020","基準財政需要額Ｂ 単位費用 投資的経費","8542905","-2375435","-21.8"
"2020","基準財政需要額Ｂ 合計","61953442","69968","0.1"
"2020","普通交付金（Ｂ－Ａ）※ Ｂ≦Ａのときは ０","0",,
"2021","基準財政収入額Ａ 特別区税 特別区民税","64732395","-1281229","-1.9"
"2021","基準財政収入額Ａ 特別区税 軽自動車税環境性能割","3816","752","24.5"
"2021","基準財政収入額Ａ 特別区税 軽自動車税種別割","63545","312","0.5"
"2021","基準財政収入額Ａ 特別区税 特別区たばこ税","4583524","-256781","-5.3"
"2021","基準財政収入額Ａ 利子割交付金","186593","-6604","-3.4"
"2021","基準財政収入額Ａ 配当割交付金","948448","-48599","-4.9"
"2021","基準財政収入額Ａ 株式等譲渡所得割交付金","1034316","480297","86.7"
"2021","基準財政収入額Ａ 地方消費税交付金","10948311","-433558","-3.8"
"2021","基準財政収入額Ａ 自動車取得税交付金",,,
"2021","基準財政収入額Ａ 環境性能割交付金","86682","-10973","-11.2"
"2021","基準財政収入額Ａ 地方特例交付金","72111","-7266","-9.2"
"2021","基準財政収入額Ａ 地方揮発油譲与税","112141","-4795","-4.1"
"2021","基準財政収入額Ａ 自動車重量譲与税","315233","-4483","-1.4"
"2021","基準財政収入額Ａ 森林環境譲与税","20365","-1","-0.0"
"2021","基準財政収入額Ａ 交通安全対策特別交付金","38279","-260","-0.7"
"2021","基準財政収入額Ａ 特例加減算額","-3148587","1356375","30.1"
"2021","基準財政収入額Ａ 合計","79997172","-216813","-0.3"
"2021","基準財政需要額Ｂ 単位費用 経常的経費","57207167","3796630","7.1"
"2021","基準財政需要額Ｂ 単位費用 投資的経費","7559193","-983712","-11.5"
"2021","基準財政需要額Ｂ 合計","64766360","2812918","4.5"
"2021","普通交付金（Ｂ－Ａ）※ Ｂ≦Ａのときは ０","0",,

"令和3年度港区行政資料集　都区財政調整","Ver202103",,,
