区分１,区分２,件数（件）,数量,単位,部局,
土地,過大に搭載されているもの,3,"20,335.79",m2,建設局,
土地,登載漏れとなっているもの,6,"4,023.01",m2,都市整備局、福祉保健局,
建物,過大に登載されているもの,5,"1,778,817.63",m2,住宅政策本部、建設局、警視庁,
建物,登載漏れとなっているもの,3,"12,320.47",m2,警視庁,
商標権,登載漏れとなっているもの,2,,,警視庁,
出資による権利,過大に搭載されているもの,1,"565,223",円,産業労働局,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
