"年月日時［西暦]","地区","二酸化硫黄[ppb]","一酸化窒素[ppb]","二酸化窒素[ppb]","窒素酸化物[ppb]","オキシダント[ppb]","一酸化炭素[0.1ppm]","ノンメタン炭化水素(非メタン9[0.01ppmC]","メタン[0.01ppmC]","浮遊粒子状物質[μg/立方メートル]","PM2.5[μg/m3]","風速[0.1m/s]","風向","温度[0.1℃]","湿度[%]","THC[0.01ppmC]"
2020120101,"芝浦",,1,17,18,18,,,,16,3,,,,,
2020120102,"芝浦",,1,16,17,19,,,,6,3,,,,,
2020120103,"芝浦",,1,13,14,21,,,,9,1,,,,,
2020120104,"芝浦",,1,18,19,18,,,,5,4,,,,,
2020120105,"芝浦",,1,15,16,21,,,,8,0,,,,,
2020120106,"芝浦",,1,18,19,16,,,,8,4,,,,,
2020120107,"芝浦",,2,19,21,11,,,,9,0,,,,,
2020120108,"芝浦",,8,21,29,9,,,,17,1,,,,,
2020120109,"芝浦",,19,23,42,8,,,,14,1,,,,,
2020120110,"芝浦",,26,24,50,11,,,,13,10,,,,,
2020120111,"芝浦",,53,35,88,10,,,,10,10,,,,,
2020120112,"芝浦",,46,34,80,12,,,,4,8,,,,,
2020120113,"芝浦",,57,37,94,11,,,,10,57,,,,,
2020120114,"芝浦",,41,37,78,14,,,,8,20,,,,,
2020120115,"芝浦",,17,29,46,22,,,,7,28,,,,,
2020120116,"芝浦",,14,31,45,20,,,,20,26,,,,,
2020120117,"芝浦",,13,31,44,20,,,,9,8,,,,,
2020120118,"芝浦",,7,22,29,23,,,,15,-2,,,,,
2020120119,"芝浦",,20,26,46,17,,,,16,-1,,,,,
2020120120,"芝浦",,9,21,30,22,,,,5,-3,,,,,
2020120121,"芝浦",,7,27,34,16,,,,7,-4,,,,,
2020120122,"芝浦",,15,32,47,11,,,,11,-12,,,,,
2020120123,"芝浦",,3,22,25,19,,,,1,2,,,,,
2020120124,"芝浦",,3,18,21,22,,,,1,1,,,,,
2020120201,"芝浦",,1,21,22,17,,,,8,2,,,,,
