種別,緯度,経度
行政防災無線固定系,35.5894129,139.7307149
行政防災無線固定系,35.5942301,139.7316204
行政防災無線固定系,35.5939265,139.7294095
行政防災無線固定系,35.5923482,139.7378253
行政防災無線固定系,35.5917718,139.7346202
行政防災無線固定系,35.5934503,139.7353532
行政防災無線固定系,35.5941424,139.7537186
行政防災無線固定系,35.5953730,139.7200198
行政防災無線固定系,35.5945564,139.7220166
行政防災無線固定系,35.5987584,139.7213142
行政防災無線固定系,35.6002512,139.7175811
行政防災無線固定系,35.5981073,139.7167795
行政防災無線固定系,35.5983683,139.7308003
行政防災無線固定系,35.5982429,139.7285396
行政防災無線固定系,35.5995405,139.7258234
行政防災無線固定系,35.5970827,139.7447403
行政防災無線固定系,35.6002960,139.7379261
行政防災無線固定系,35.5962277,139.7372102
行政防災無線固定系,35.5977988,139.7355532
行政防災無線固定系,35.5969033,139.7537675
行政防災無線固定系,35.5981794,139.7505122
行政防災無線固定系,35.5963152,139.7632048
行政防災無線固定系,35.6037834,139.7005558
行政防災無線固定系,35.6021484,139.7086900
行政防災無線固定系,35.6029266,139.7113630
行政防災無線固定系,35.6031643,139.7042949
行政防災無線固定系,35.6043307,139.7054340
行政防災無線固定系,35.6041605,139.7078638
行政防災無線固定系,35.6070882,139.7028225
行政防災無線固定系,35.6055075,139.7228118
行政防災無線固定系,35.6064650,139.7211334
行政防災無線固定系,35.6047079,139.7206050
行政防災無線固定系,35.6070217,139.7158125
行政防災無線固定系,35.6023993,139.7151468
行政防災無線固定系,35.6068106,139.7128290
行政防災無線固定系,35.6078477,139.7135858
行政防災無線固定系,35.6021066,139.7239920
行政防災無線固定系,35.6025750,139.7338767
行政防災無線固定系,35.6072847,139.7256818
行政防災無線固定系,35.6057528,139.7282962
行政防災無線固定系,35.6028892,139.7299087
行政防災無線固定系,35.6047308,139.7321884
行政防災無線固定系,35.6067914,139.7313595
行政防災無線固定系,35.6050646,139.7410637
行政防災無線固定系,35.6038413,139.7387433
行政防災無線固定系,35.6060997,139.7353412
行政防災無線固定系,35.6031510,139.7413528
行政防災無線固定系,35.6057972,139.7442130
行政防災無線固定系,35.6054897,139.7480710
行政防災無線固定系,35.6072680,139.7492982
行政防災無線固定系,35.6072629,139.7544317
行政防災無線固定系,35.6032981,139.7540764
行政防災無線固定系,35.6017050,139.7515351
行政防災無線固定系,35.6119612,139.6997109
行政防災無線固定系,35.6120850,139.7107577
行政防災無線固定系,35.6138538,139.7061414
行政防災無線固定系,35.6134012,139.7047642
行政防災無線固定系,35.6111745,139.7034235
行政防災無線固定系,35.6092603,139.7036860
行政防災無線固定系,35.6086625,139.7082731
行政防災無線固定系,35.6089538,139.7210960
行政防災無線固定系,35.6134053,139.7222327
行政防災無線固定系,35.6109295,139.7205778
行政防災無線固定系,35.6113842,139.7186625
行政防災無線固定系,35.6119150,139.7157612
行政防災無線固定系,35.6143990,139.7123289
行政防災無線固定系,35.6086129,139.7299161
行政防災無線固定系,35.6130536,139.7296097
行政防災無線固定系,35.6117679,139.7265889
行政防災無線固定系,35.6098918,139.7419670
行政防災無線固定系,35.6113492,139.7390782
行政防災無線固定系,35.6086315,139.7367036
行政防災無線固定系,35.6108164,139.7365006
行政防災無線固定系,35.6128137,139.7430129
行政防災無線固定系,35.6140397,139.7340160
行政防災無線固定系,35.6120233,139.7470901
行政防災無線固定系,35.6118539,139.7486609
