地域区分,国・地域（人）,人口
総数,総数,449042
アジア,アジア,390962
アジア,アフガニスタン,165
アジア,アラブ首長国連邦,55
アジア,ミャンマー,7044
アジア,バーレーン,3
アジア,ブータン,9
アジア,バングラデシュ,3246
アジア,ブルネイ,17
アジア,カンボジア,422
アジア,スリランカ,1596
アジア,中国,185982
アジア,キプロス,10
アジア,インド,9475
アジア,インドネシア,3212
アジア,イラン,973
アジア,イラク,23
アジア,イスラエル,230
アジア,ヨルダン,28
アジア,韓国・朝鮮,93309
アジア,クウェート,10
アジア,ラオス,186
アジア,レバノン,42
アジア,マレーシア,2354
アジア,モンゴル,1858
アジア,オマーン,4
アジア,モルディブ,8
アジア,ネパール,18412
アジア,パキスタン,1079
アジア,フィリピン,29575
アジア,カタール,3
アジア,サウジアラビア,392
アジア,シリア,67
アジア,シンガポール,991
アジア,タイ,7370
アジア,東ティモール,4
アジア,トルコ,657
アジア,ベトナム,22131
アジア,イエメン,10
アジア,パレスチナ,10
ヨーロッパ,ヨーロッパ,24720
ヨーロッパ,アルバニア,18
ヨーロッパ,オーストリア,214
ヨーロッパ,ベルギー,316
ヨーロッパ,ブルガリア,140
ヨーロッパ,ベラルーシ,90
ヨーロッパ,クロアチア,42
ヨーロッパ,チェコ,113
ヨーロッパ,デンマーク,251
ヨーロッパ,エストニア,43
ヨーロッパ,フィンランド,247
ヨーロッパ,フランス,5500
ヨーロッパ,ドイツ,2448
ヨーロッパ,ギリシャ,75
ヨーロッパ,ハンガリー,160
ヨーロッパ,アイスランド,28
ヨーロッパ,アイルランド,340
ヨーロッパ,イタリア,1588
ヨーロッパ,キルギス,48
ヨーロッパ,カザフスタン,105
ヨーロッパ,リヒテンシュタイン,4
ヨーロッパ,ルクセンブルク,17
ヨーロッパ,ラトビア,23
ヨーロッパ,リトアニア,82
ヨーロッパ,モナコ,1
ヨーロッパ,マルタ,8
ヨーロッパ,モルドバ,38
ヨーロッパ,マケドニア,9
ヨーロッパ,オランダ,409
ヨーロッパ,ノルウェー,137
ヨーロッパ,ポーランド,383
ヨーロッパ,ポルトガル,162
ヨーロッパ,ルーマニア,509
ヨーロッパ,ロシア,2279
ヨーロッパ,サンマリノ,0
ヨーロッパ,スペイン,919
ヨーロッパ,スウェーデン,862
ヨーロッパ,スイス,397
ヨーロッパ,トルクメニスタン,4
ヨーロッパ,タジキスタン,16
ヨーロッパ,英国,5561
ヨーロッパ,ウクライナ,403
ヨーロッパ,ウズベキスタン,543
ヨーロッパ,アルメニア,15
ヨーロッパ,アゼルバイジャン,17
ヨーロッパ,アンドラ,0
ヨーロッパ,ジョージア,10
ヨーロッパ,スロベニア,23
ヨーロッパ,スロバキア,42
ヨーロッパ,ボスニア・ヘルツェゴビナ,9
ヨーロッパ,セルビア,62
ヨーロッパ,ヴァチカン,0
ヨーロッパ,モンテネグロ,3
ヨーロッパ,コソボ,2
ヨーロッパ,セルビア・モンテネグロ,5
アフリカ,アフリカ,2853
アフリカ,アルジェリア,53
アフリカ,ブルンジ,2
アフリカ,ボツワナ,5
アフリカ,カメルーン,98
アフリカ,中央アフリカ,6
アフリカ,チャド,0
アフリカ,コンゴ共和国,6
