"施設名称","施設郵便番号","施設所在地","施設方書","許可日","許可番号"
"サントリーホール（ブルーローズ）","107-0052","東京都港区赤坂一丁目13番1号",,"2012/3/14","23港み生環き第157号"
"サントリーホール（大ホール）","107-0052","東京都港区赤坂一丁目13番1号",,"2012/3/14","23港み生環き第156号"
"スタジオ赤坂ＣＨＡＮＣＥシアター","107-0052","東京都港区赤坂二丁目6番22号","デュオ・スカーラ赤坂2　B-103","2018/6/14","29港み生環き第229号"
"赤坂レッドシアター","107-0052","東京都港区赤坂三丁目10番9号",,"2006/12/13","18港み生環き第103号"
"港区立赤坂区民センター","107-0052","東京都港区赤坂四丁目18番13号",,"1996/2/20","4港赤総衛環き第22号"
"マイナビＢＬＩＴＺ赤坂","107-0052","東京都港区赤坂五丁目3番2号",,"2008/2/28","16港み生環き第105号"
"ＴＢＳ赤坂ＡＣＴシアター","107-0052","東京都港区赤坂五丁目3番2号",,"2008/2/28","16港み生環き第106号"
"草月ホール","107-0052","東京都港区赤坂七丁目2番21号",,"1978/5/18","53港赤保衛環き第7号"
"ＶＩＬＬＡＧＥ　（ヴィレッジ）","106-0045","東京都港区麻布十番一丁目4番5号","深尾ビル地下1階","2000/10/10","12港み生環き第62号"
"ＪＲ東日本四季劇場［春］","105-0022","東京都港区海岸一丁目10番45号",,"2020/10/8","2港み生環き第126号"
"ＪＲ東日本四季劇場［秋］","105-0022","東京都港区海岸一丁目10番45号",,"2020/10/8","2港み生環き第127号"
"ＪＲ東日本アートセンター／自由劇場","105-0022","東京都港区海岸一丁目10番53号",,"2003/10/28","14港み生環き第102号"
"ニューピアホール","105-0022","東京都港区海岸一丁目11番1号",,"1991/11/18","63港芝総衛環き第39号"
"ＡＲＫ　（アーク）","108-0022","東京都港区海岸三丁目2番6号","丸鈴ビル2、3階","2003/3/3","14港み生環き第143号"
"秩父宮ラグビー場","107-0061","東京都港区北青山二丁目8番35号",,"2003/11/13","15港み生環き第95号"
"品川インターシティホール","108-0075","東京都港区港南二丁目15番4号",,"1998/12/2","10港み生環き第88号"
"ザ・グランドホール","108-0075","東京都港区港南二丁目16番4号","品川グランドセントラルタワー3階","2013/7/10","25港み生環き第50号"
"白金音楽堂","108-0072","東京都港区白金三丁目10番16号","白金望月ビル2階","2023/7/27","4港み生環き第88号"
"東京ジョイポリス","135-0091","東京都港区台場一丁目6番1号",,"1998/3/20","9港芝総衛環き第83号"
"レゴランド・ディスカバリー・センター東京","135-0091","東京都港区台場一丁目6番1号","デックス東京ビーチアイランドモール7階","2012/6/12","23港み生環き第164号"
"ユナイテッド・シネマ　アクアシティお台場","135-0091","東京都港区台場一丁目7番1号",,"2017/4/24","29港み生環き第6号"
"マルチ　シアター","135-0091","東京都港区台場二丁目4番8号",,"1996/7/9","8港芝総衛環き第5号"
"高輪コミュニティぷらざ","108-0074","東京都港区高輪一丁目16番25号",,"1995/3/10","3港芝総衛環き第64号"
"クラブｅＸ（エックス）","108-0074","東京都港区高輪四丁目10番30号",,"2002/4/24","11港み生環き第64号"
"ティ・ジョイ　ＰＲＩＮＣＥ（プリンス）品川　１","108-0074","東京都港区高輪四丁目10番30号","3階","2016/4/1","27港み生環き第217号"
"ティ・ジョイ　ＰＲＩＮＣＥ（プリンス）品川　２","108-0074","東京都港区高輪四丁目10番30号","3階","2016/4/1","27港み生環き第218号"
"ティ・ジョイ　ＰＲＩＮＣＥ（プリンス）品川　３","108-0074","東京都港区高輪四丁目10番30号","3階","2016/4/1","27港み生環き第219号"
"ティ・ジョイ　ＰＲＩＮＣＥ（プリンス）品川　４","108-0074","東京都港区高輪四丁目10番30号","3階","2016/4/1","27港み生環き第220号"
"ティ・ジョイ　ＰＲＩＮＣＥ（プリンス）品川　５","108-0074","東京都港区高輪四丁目10番30号","3階","2016/4/1","27港み生環き第221号"
"ティ・ジョイ　ＰＲＩＮＣＥ（プリンス）品川　６","108-0074","東京都港区高輪四丁目10番30号","3階","2016/4/1","27港み生環き第222号"
"ティ・ジョイ　ＰＲＩＮＣＥ（プリンス）品川　７","108-0074","東京都港区高輪四丁目10番30号","3階","2016/4/1","27港み生環き第223号"
"ティ・ジョイ　ＰＲＩＮＣＥ（プリンス）品川　８","108-0074","東京都港区高輪四丁目10番30号","3階","2016/4/1","27港み生環き第224号"
"ティ・ジョイ　ＰＲＩＮＣＥ（プリンス）品川　９","108-0074","東京都港区高輪四丁目10番30号","3階","2016/4/1","27港み生環き第225号"
"ティ・ジョイ　ＰＲＩＮＣＥ（プリンス）品川　１０","108-0074","東京都港区高輪四丁目10番30号","3階","2016/4/1","27港み生環き第226号"
"ティ・ジョイ　ＰＲＩＮＣＥ（プリンス）品川　１１","108-0074","東京都港区高輪四丁目10番30号","6階","2016/4/1","27港み生環き第216号"
"マクセルアクアパーク品川","108-0074","東京都港区高輪四丁目10番30号","4階","2013/10/1","25港み生環き第93号"
"アクアパークステラボール","108-0074","東京都港区高輪四丁目10番30号",,"2005/3/30","14港み生環き第155号"
"にっぽん丸興行場","105-0001","東京都港区虎ノ門一丁目1番18号","ヒューリック虎ノ門ビル11階(本社所在地)","2002/8/30","14港み生環き第60号"
"にっぽん丸映画館（船舶）","105-0001","東京都港区虎ノ門一丁目1番18号","ヒューリック虎ノ門ビル11階(本社所在地)","2021/4/22","2港み生環き第235号"
"ベルサール虎ノ門","105-0001","東京都港区虎ノ門二丁目2番1号","住友不動産虎ノ門タワー2階","2021/2/2","2港み生環き第197号"
"ＴＯＫＹＯ　ＮＯＤＥ　ＨＡＬＬ","105-0001","東京都港区虎ノ門二丁目6番2号","虎ノ門ステーションタワー 45階，46階，47階","2023/8/29","5港み生環き第48号"
"ＥＸ　ＴＨＥＡＴＥＲ　ＲＯＰＰＯＮＧＩ（ＥＸシアター六本木）","106-0031","東京都港区西麻布一丁目2番9号",,"2013/11/1","23港み生環き第109号"
"ＦＲＥＱ（フレック）","106-0031","東京都港区西麻布一丁目10番11号","セソーラス西麻布地下2階","2014/2/24","25港み生環き第172号"
"ニッショーホール","105-0021","東京都港区東新橋一丁目1番19号",,"2020/10/7","2港み生環き第135号"
"日仏文化協会汐留ホール","105-0021","東京都港区東新橋一丁目7番2号","汐留メディアタワーアネックス1階、2階","2019/8/13","31港み生環き第76号"
"トッパンフォームズビル　多目的ホール","105-0021","東京都港区東新橋一丁目7番3号",,"2003/5/1","12港み生環き第71号"
"電通四季劇場［海］","105-0021","東京都港区東新橋一丁目8番2号",,"2002/11/1","13港み生環き第118号"
"パークコート青山ザタワー","107-0062","東京都港区南青山二丁目3番3号","25階","2018/2/6","27港み生環き第128号"
"スパイラルホール","107-0062","東京都港区南青山五丁目6番23号",,"1990/1/29","元港赤総衛環き第19号"
"ＣＡＹ（カイ）","107-0062","東京都港区南青山五丁目6番23号","地下1階","2008/5/1","19港み生環き第135号"
"Ｆｕｔｕｒｅ　ＳＥＶＥＮ　（フューチャー　セブン）","107-0062","東京都港区南青山六丁目10番12号","フェイス南青山1階","2014/5/23","26港み生環き第33号"
"ＮＥＷ　ＰＬＡＮＥＴ（ニュープラネット）","106-0032","東京都港区六本木三丁目10番5号","マリーナビル1階","2013/7/25","25港み生環き第62号"
"俳優座劇場","106-0032","東京都港区六本木四丁目9番2号",,"1980/9/16","55港麻保衛環き第8号"
"俳優座スタジオ","106-0032","東京都港区六本木四丁目9番2号","5階","2020/6/18","2港み生環き第54号"
"ＳＴＵＤＩＯ　ＦＬＯＷＥＲ　（スタジオフラワー）","106-0032","東京都港区六本木五丁目5番1号","2階","2009/3/12","20港み生環き第150号"
"六本木トリコロールシアター","106-0032","東京都港区六本木六丁目8番14号",,"2018/5/9","29港み生環き第243号"
"ＴＯＨＯシネマズ六本木ヒルズ","106-0032","東京都港区六本木六丁目10番2号","六本木ヒルズけやき坂コンプレックス","2003/4/22","13港み生環き第103号"
"六本木ヒルズアリーナ　（広場２号）","106-0032","東京都港区六本木六丁目10番2号",,"2003/11/21","15港み生環き第100号"

"常設興行場一覧(令和6年3月31日現在)","Ver202403",,,,
