区分,行政区域面積（km?）,道路延長（km),道路面積（km?）,道路率（％）
区部,627.57,"11,968",103.455,16.5
多摩部　,"1,159.81","11,169",77.713,6.7
島しょ部　,406.58,"1,486",7.233,1.8
計,2193.96,"24,623",188.402,8.6
