"年度","利用登録者（障害者）[人]","利用登録者（総数）[人]","来館者（障害者）[人]","来館者（総数）[人]"
"2016","169","205","6493","8462"
"2017","227","280","5161","6683"
"2018","261","322","5807","7605"

"令和元年度港区行政資料集　施設利用状況一覧 精神障害者地域活動支援センター","Ver201903",,,
