荒川電車営業所
都営バス営業所・支所（青梅支所除く。）
都営バス定期券発売所
都営地下鉄定期券発売所（磁気券は、浅草橋、三田、巣鴨、大島、一之江、門前仲町、上野御徒町のみ。）
都営地下鉄各駅（押上、白金高輪、白金台、目黒、新宿線新宿を除く。）の自動定期券発売機（ICのみ発売。）
日暮里・舎人ライナー日暮里駅定期券発売所
日暮里・舎人ライナー日暮里、西日暮里、熊野前、扇大橋、江北、西新井大師西、舎人公園、見沼代親水公園各駅の自動定期券発売機（ICのみ発売。）
