のりば,系統番号,行先
(1),池86,池袋サンシャインシティ
(2),池65,江古田二丁目
(2),池65,練馬車庫前
(4),池86,渋谷駅東口
(4),池86,早稲田
(5),都02乙,東京ドームシティ
(5),都02乙,一ツ橋（平日・土曜の朝のみ運行）
(5),草63-2,東池袋一丁目
(6),王40,西新井駅前
(6),王40,北車庫前
(6),深夜02,豊島五丁目団地
(6),王55,新田一丁目（王子駅前・ハートアイランド東経由）
(7),草64,浅草雷門南（王子駅前経由）
(11),上60,上野公園
(12),草63,とげぬき地蔵前（巣鴨車庫前）
(12),草63-2,とげぬき地蔵前（巣鴨車庫前）
(13),草63,浅草寿町（巣鴨駅前経由）
