期間,通勤（円）,通学（大人）（円）,通学（中学生）（円）,通学（小児）（円）
1か月,9450,7560,6930,3780
1か月＋3日［定額定期券］,10000,--,--,--
3か月,26930,21550,19750,10780
6か月（ICカードのみ）,51030,40820,37420,20410
