のりば,系統番号,行先
(1),池65,池袋駅東口（目白駅前経由）
(3),池65,江古田二丁目
(3),池65,練馬車庫前（江古田二丁目経由）
(4),白61,練馬車庫前（江古田二又経由）・練馬駅
(4),練68,練馬駅（練馬総合病院入口経由）
