のりば,系統番号,行先
(51),都01（T01）,新橋駅前（アークヒルズ経由）
(51),RH01,六本木ヒルズ
(54),学03,日赤医療センター前
(56),田87,田町駅前
(58),都06,新橋駅前（赤羽橋駅前経由）
(59),渋88,新橋駅前（神谷町駅前経由）
