のりば,系統番号,行先
(7),葛西24,なぎさニュータウン
(8),臨海28甲,葛西臨海公園駅前（堀江団地経由）
(8),臨海28乙,臨海車庫前
(8),新小29-2,東京臨海病院前
(9),葛西21,コーシャハイム南葛西
(9),葛西21,葛西臨海公園駅前
(11),葛西22,一之江駅前（雷経由）
