のりば,系統番号,行先
(1),飯64,小滝橋車庫前（早稲田経由）
(2),飯64,九段下（循環）
(3),飯62,都営飯田橋駅前
(4),飯62,小滝橋車庫前（牛込柳町駅前経由）
