のりば,系統番号,行先
(5),都06,新橋駅前（大門駅前経由）
(5),橋86,東京タワー
(5),橋86,新橋駅前（神谷町駅前経由）
(6),都06,渋谷駅前
(6),橋86,目黒駅前
(6),反94,五反田駅（高輪台駅前経由）
(7),（降車専用）,
