のりば,系統番号,行先
(6),草43,千住車庫前
(6),草43,足立区役所
(6),草63,池袋駅東口（巣鴨駅前経由）
(7),草43,浅草雷門（竜泉経由）
(7),草63,浅草寿町（竜泉経由）
