のりば,系統番号,行先
(1),亀21,亀戸駅前
(1),陽20,東大島駅前
(2),木11甲,新木場（循環）、若洲キャンプ場前
(2),木11乙,潮見駅前
(3),都07,錦糸町駅前（境川経由）
(3),錦22,臨海車庫
(4),都07,門前仲町（富岡一丁目経由）
(4),木11甲,木場駅前
(4),陽20,（降車専用）
(4),亀21,（降車専用）
(5),門21,東大島駅前
(5),東22,錦糸町駅前（住吉駅経由）
(5),錦22,錦糸町駅前（住吉駅経由）
(6),門21,門前仲町（冬木経由）
(6),東22,東京駅丸の内北口
(7),陽12-1,昭和大学江東豊洲病院前
(7),陽12-2,豊洲市場
(7),陽12-3,東京テレポート駅前
