発売場所,磁気券,PASMO・Suica,モバイルSuica,Apple PayのPASMO／モバイルPASMO
都営バス営業所・支所,〇,◎,◎,×（注6）
都営バス定期券発売所,〇,◎,◎,×（注6）
都営バス東陽操車所、大和操車所,〇,×,×,×（注6）
荒川電車営業所,×,×,×,×（注6）
都営地下鉄各駅（注1）の自動定期券発売機,×,◎（注5）,×,×（注6）
都営地下鉄定期券発売所,◯（注4）,◎,×,×（注6）
日暮里・舎人ライナー各駅（注2）の自動定期券発売機,×,◎（注5）,×,×（注6）
日暮里・舎人ライナー日暮里駅定期券発売所,〇,◎,×,×（注6）
都営バス車内（23区内のみ）（注3）,車内では定額定期券（磁気券）のみ発売。,車内では定額定期券（磁気券）のみ発売。,車内では定額定期券（磁気券）のみ発売。,車内では定額定期券（磁気券）のみ発売。
