のりば,系統番号,行先
(1),門33,亀戸駅前
(1),草39,金町駅前
(2),都08（T08）,錦糸町駅前
(2),業10,とうきょうスカイツリー駅前
(2),上23,平井駅前（押上一丁目経由）
(2),上23,平井駅前（十間橋経由）
(3),門33,豊海水産埠頭
(4),上23,上野松坂屋前
(4),草39,上野松坂屋前
(5),都08（T08）,日暮里駅前
(6),業10,新橋
