のりば,系統番号,行先
(1),東15,東京駅八重洲口（晴海三丁目経由）
(2),東16,東京駅八重洲口（月島駅前経由）
(3),錦13,晴海埠頭
(4),門19,門前仲町（豊洲一丁目経由）
(4),急行06,森下駅前（土・休日のみ運行）
(5),業10,新橋駅
(6),都05-1,東京駅丸の内南口
(6),都05-1出入,晴海埠頭
(6),豊洲01,豊洲一丁目（循環）
(7),錦13,錦糸町駅前
(7),陽12-1,東陽町駅前
(7),陽12-2,東陽町駅前
(7),陽12-3,東陽町駅前
(8),海01（KM01）,門前仲町（塩浜一丁目経由）
(8),門19,門前仲町（塩浜一丁目経由）
(9),業10,とうきょうスカイツリー駅前
(10),陽12-1,昭和大学江東豊洲病院
(10),門19,深川車庫前（辰巳回り）・東京ビッグサイト
(10),豊洲01,キャナルコート（循環）
(11),海01（KM01）,東京テレポート駅前
(11),東15,深川車庫前（都橋回り）
(11),東16,東京ビッグサイト
(12),急行06,日本科学未来館（土・休日のみ運行）
(13),陽12-2,豊洲市場
(13),陽12-3,東京テレポート駅前（土・休日のみ運行）
