ICカード種類,都電・都営バス連絡定期券（通勤）,都電・都営バス連絡定期券（通学）
PASMO（記名）,○,○
PASMO（無記名）,○,×
Apple PayのPASMO／モバイルPASMO（記名）,△（注1）,△（注1、注2）
Apple PayのPASMO／モバイルPASMO（無記名）,×,×
Suica（記名）,○,○
Suica（無記名）,×,×
モバイルSuica（記名）,△,△
モバイルSuica（無記名）,×,×
