のりば,系統番号,行先
(1),草24,浅草寿町
(1),亀24,亀戸駅前（西大島駅前経由）
(2),草24,東大島駅前
(2),亀24,葛西橋
(3),亀21,亀戸駅前（水神森前経由）
(4),亀21,東陽町駅前
