乗車回数,チケット使用額（円）,運賃支払額（円）,運賃支払額累計（円）,付加ポイント（pt）,累計ポイント（pt）,チケット付与額（円）,チケット残額（円）
1回目,,210,210,210,210,,0
2回目,,210,420,210,420,,0
3回目,,210,630,210,630,,0
4回目,,210,840,210,840,,0
5回目,,210,1050,210,1050,100,100
6回目,100,110,1160,110,1160,,0
7回目,,210,1370,210,1370,,0
8回目,,210,1580,210,1580,,0
9回目,,210,1790,210,1790,,0
10回目,,210,2000,210,2000,100,100
11回目,100,110,2110,110,2110,,0
12回目,,210,2320,210,2320,,0
13回目,,210,2530,210,2530,,0
14回目,,210,2740,210,2740,,0
15回目,,210,2950,210,2950,,0
16回目,,210,3160,210,3160,160,160
17回目,160,50,3210,50,3210,,0
18回目,,210,3420,210,3420,,0
19回目,,210,3630,210,3630,,0
20回目,,210,3840,210,3840,,0
21回目,,210,4050,210,4050,160,160
22回目,160,50,4100,50,4100,,0
23回目,,210,4310,210,4310,,0
24回目,,210,4520,210,4520,,0
25回目,,210,4730,210,4730,,0
26回目,,210,4940,210,4940,,0
27回目,,210,5150,210,5150,330,330
28回目,210,0,5150,0,5150,,120
29回目,120,90,5240,90,5240,,0
30回目,,210,5450,210,5450,,0
31回目,,210,5660,210,5660,,0
32回目,,210,5870,210,5870,,0
33回目,,210,6080,210,6080,170,170
34回目,170,40,6120,40,6120,,0
35回目,,210,6330,210,6330,,0
36回目,,210,6540,210,6540,,0
37回目,,210,6750,210,6750,,0
38回目,,210,6960,210,6960,,0
39回目,,210,7170,210,7170,180,180
40回目,180,30,7200,30,7200,,0
41回目,,210,7410,210,7410,,0
42回目,,210,7620,210,7620,,0
43回目,,210,7830,210,7830,,0
44回目,,210,8040,210,8040,180,180
45回目,180,30,8070,30,8070,,0
46回目,,210,8280,210,8280,,0
47回目,,210,8490,210,8490,,0
48回目,,210,8700,210,8700,,0
49回目,,210,8910,210,8910,,0
50回目,,210,9120,210,9120,180,180
51回目,180,30,9150,30,9150,,0
52回目,,210,9360,210,9360,,0
53回目,,210,9570,210,9570,,0
54回目,,210,9780,210,9780,,0
55回目,,210,9990,210,9990,,0
56回目,,210,10200,210,10200,180,180
,,,10200,繰り越し,200,,180
57回目,180,30,10230,30,230,,0
