のりば,系統番号,行先
(1),市01,豊洲市場
(1),市01急行,豊洲市場
(2),橋63,小滝橋車庫前
(3),渋88,渋谷駅前（神谷町駅経由）
(4),都01（T01）,渋谷駅前（溜池経由）
(5),都06,渋谷駅前（赤羽橋駅経由）
(5),橋86,目黒駅前
★,-,（降車専用）
