都営バス営業所・支所
都営バス定期券発売所
都営地下鉄各駅（押上、目黒、白金台、白金高輪、新宿線新宿を除く。）の自動定期券発売機
都営地下鉄定期券発売所
日暮里・舎人ライナー日暮里、西日暮里、熊野前、扇大橋、江北、西新井大師西、舎人公園、見沼代親水公園各駅の自動定期券発売機
日暮里・舎人ライナー日暮里駅定期券発売所
