のりば,系統番号,行先
(15),飯64,九段下（循環）（飯田橋駅前経由）
(15),上69,上野公園（循環）
(15),早77,早稲田
(15),池86出入,早稲田
(16),学02,早大正門
(17),学02,高田馬場駅前
(17),飯64,小滝橋車庫前
(17),上69,小滝橋車庫前
(18),早77,新宿駅西口
(18),池86出入,池袋駅東口、渋谷駅東口
