のりば,系統番号,行先
(1),上23,平井駅前
(1),草39,金町駅前
(1),草41,足立梅田町
(1),草43,足立区役所・千住車庫前（土・休日のみ運行）
(2),上46,南千住駅東口・南千住車庫前
(3),上23,上野松坂屋前（上野広小路）
(3),上46,上野松坂屋前（上野広小路）
(3),草39,上野松坂屋前（上野広小路）（平日の日中のみ運行）
(4),草41,浅草寿町（終点）
(4),草43,浅草雷門（平日のみ運行）
(4),草63,浅草寿町（終点）
(5),草24,東大島駅前
