のりば,系統番号,行先
(1),門19,門前仲町
(1),東15乙,東京駅八重洲口（平日の朝のみ）
(2),錦13乙,錦糸町駅前
(3),門19,深川車庫前・東京ビッグサイト
(3),錦13乙,深川車庫前
