名称,所在地,面積[㎡],開園年月日
横川北,横川3－12－13,358.19,昭24.12.25
小梅,向島1－33－3,753.36,昭31.4.1
横川南,横川3－6－3,128.01,昭31.4.1
柳島,横川5－10－13,514.68,昭34.4.1
六間堀,千歳3－1－1,351.3,昭34.4.1
法恩寺橋,石原4－28－2,676.65,昭34.9.1
菊一,菊川1－1－17,196.7,昭34.9.15
菊川橋,菊川3－13－2,364.59,昭36.9.15
緑,緑1－1－17,173.8,昭37.11.13
もみじばし,本所4－8－6,397.38,昭39.1.15
しいのき,吾妻橋3－9－4,112,昭40.710
横川橋,横川1－1－1,391.87,昭43.4.1
あかしや,太平4－23－3,347.51,昭44.1.7
くるみ,業平5－1－1,479.5,昭44.1.7
つくし,亀沢3－4－8,186.38,昭44.1.7
両国橋,両国1－11－2,501.82,昭44.6.30
露伴,東向島1－7－11,383.8,昭25.12.9
あづま,立花1－2－3,363.64,昭26.3.11
曳舟,東向島2－25－7,322.11,昭30.4.1
隅田,墨田4－23－12,512.93,昭31.4.1
香取,立花1－25－6,246.25,昭32.4.1
宮元,文花2－7－4,513.22,昭33.1.14
境,墨田1－13－3,524.39,昭33.1.14
とらばし,京島1－21－9,245.73,昭36.4.1
さくら,堤通1－18－20,627.67,昭46.10.1
くすのき,東向島4－28－8,255.29,昭40.4.1
あすなろ,東向島1－34－5,614.19,昭41.3.31
たちばな,立花3－21－16,551.43,昭41.12.27
すずかけ,東向島5－39－8,359.74,昭42.3.24
あおぎり,八広4－11－6,751.69,昭43.4.20
こでまり,東向島5－24－1,556.29,昭44.1.25
からたち,京島3－10－19,661.16,昭44.12.25
どんぐり,緑3－12－9,405.68,昭45.4.1
さくらんぼ,向島5－38－7,553.56,昭45.4.1
さざんか,江東橋1－1－4,382.32,昭46.12.25
ささのは,亀沢4－18－8,418.54,昭46.12.25
かしわ,東駒形2－8－2,217.52,昭46.12.25
あじさい,東墨田3－12－10,420.26,昭47.12.20
かつら,墨田3－36－13,449.84,昭48.4.1
こぶし,墨田2－14－3,303.25,昭48.4.1
やまぶき,東向島6－60－6,266.87,昭48.4.1
けやき,八広1－7－4,897.61,昭49.4.18
とちのき,緑2－8－12,496.2,昭50.12.25
押上第一,押上3－48－1,370.28,昭52.3.26
立川第二,立川3－15－6,972.55,昭52.4.1
本四三ツ目,本所4－1－4,815.12,昭53.4.1
きくはな,緑4－2－4,308.07,昭53.4.1
こまどり,東駒形1－2－11,1544.29,昭53.11.11
請地,向島4－12－11,460.36,昭53.12.16
八広第一,八広5－7－6,538.06,昭54.4.1
八広第二,八広5－7－18,529.88,昭54.4.1
墨田二丁目,墨田2－42－4,803.17,昭55.4.1
六軒,立花3－18－12,711.52,昭56.4.1
亀沢第一,亀沢2－13－7,430.94,昭56.10.1
隅田第二,墨田4－8－14,1216.11,昭57.1.15
両国第一,両国4－36－16,879.29,昭57.4.1
墨田第三,墨田2－17－6,742.18,昭57.12.1
八広つるかめ,八広4－28－6,671.5,昭57.12.15
ごあずま,八広4－36－24,403.23,昭58.3.12
立花第一,立花4－9－6,419.17,昭58.3.15
押上第二,押上3－57－3,582.52,昭59.12.1
隅田西,墨田3－31－2,498.36,昭60.4.1
隅田東,墨田4－52－12,446.95,昭60.4.1
墨田第六,墨田2－20－15,304.76,昭60.6.25
八広六西,八広6－13－1,411.58,昭60.12.10
隅田東第二,墨田4－34－20,588.96,昭61.11.29
長浦,八広1－8－18,268.96,昭62.4.1
八広一丁目,八広1－19－14,750.8,昭63.3.26
立花六丁目,立花6－14－5,545.37,平1.3.31
中之郷,押上2－12－1,449.55,平3.3.1
白鬚,墨田1－4－9,403.59,平12.4.1
71園,,35302.04,
