,4.0m未満,4.0m～5.5m未満,5.5m～8.0m未満,8.0m～11.0m未満,11.0m～13.0m未満,13.0m～19.5m未満,19.5m以上,計
延長[m],49536,43461,60816,38814,38974,16234,5035,252870
比率[％],19.5895124,17.18709218,24.1,15.34938901,15.4,6.419899553,1.991141693,
面積[㎡],168986,194162,386067,342542,453295,260104,121798,1926954
比率[％],8.769591801,10.07610976,20,17.77634547,23.52391391,13.5,6.320752857,
