名称,所在地,面積[㎡],開園年月日,移管年月日,備考
本所松坂町,両国3－13－9,97.56,昭10.12.14,昭25.10.1,
両国,両国4－25－3,2969.22,昭4.1.31,昭25.10.1,
菊川,立川4－12－21,2975.47,昭5.3.31,昭25.10.1,
中和,菊川1－18－25,2975.57,昭4.12.15,昭25.10.1,
若宮,本所2－2－19,4594.31,昭6.2.11,昭25.10.1,
横川,東駒形4－18－21,2850.03,昭6.3.26,昭25.10.1,
業平,業平2－3－2,3339.05,昭5.4.29,昭25.10.1,
原,京島3－44－14,837.13,昭12.5.6,昭25.10.1,
中川,立花5－38－3,1818.05,昭12.4.6,昭25.10.1,
錦糸堀,江東橋4－17－1,1679.94,昭25.6.10,昭28.4.1,
緑町,亀沢2－7－7,6116.72,昭5.3.31,昭28.4.1,
竪川第一,江東橋4－1－3,5357.28,昭28.9.1,昭28.9.1,
江東橋,江東橋2－4－11,2179.61,昭35.10.15,昭35.10.15,
京島南,京島2－20－17,1596.57,昭38.11.16,,昭50.4.1､児童遊園から
押上,押上1－47－8,3022.08,昭38.12.23,,わんぱく天国を含む
錦糸,錦糸4－15－1,56124.16,昭3.7.18,昭40.4.1,
新平井橋,東墨田1－6－2,4053.01,昭39.10.1,,
旧安田庭園,横網1－12－1,14241.92,昭2.7.16,昭42.4.1,
あずま百樹園,文花1－19－4,3577.02,昭43.4.1,,
吾嬬西,八広6－53－16,4121.84,昭41.3.31,,
ふじのき,東向島2－7－5,1828.33,昭42.7.20,,昭50.4.1､児童遊園から
さつき,東向島6－19－12,1606.7,昭44.1.22,,昭50.4.1､児童遊園から
ひいらぎ,八広1－16－11,1094.05,昭45.5.9,,昭50.4.1､児童遊園から
つばき,墨田5－33－9,1183.26,昭45.11.3,,
日進,亀沢3－24－3,2748.83,昭46.5.1,,
銅像堀,向島5－9－1,12702.3,昭47.5.15,,
吾妻橋,吾妻橋1－12－1,2993.3,昭47.7.1,,
文花,文花1－27－5,3124.62,昭47.10.15..,,
隅田川緑道,横網１・２丁目、本所１丁目、東駒形１丁目、吾妻橋１丁目、堤通１丁目地先,23182.29,昭48.12.25,,
東向島北,東向島4－12－19,4426.24,昭48.12.25,,
堤通,堤通1－8－1,13586.25,昭49.4.18,,
長寿庭園,東向島4－8－20,2618.34,昭49.4.18,,
隅田,向島1・2・5丁目,80947.38,昭6.3.24,昭50.4.1,
荒川四ッ木橋緑地,墨田4・5丁目､八広6丁目、東墨田2・3丁目地先,107001.15,昭49.6.1,昭50.4.1,
舟原,八広2－43－16,2406.66,昭50.12.21,,
福寿,立花3－24－3,970.79,昭51.5.20,,
京島西,京島1－22－3,1492.12,昭52.2.5,,
東向島ふじ,東向島2－46－7,923.19,昭52.4.1,,
立花,立花1－27－5,4800,昭52.4.1,,
横川東,横川5－2－8,1047.52,昭52.4.1,,
文花宮前橋,文花1－32－11,3100,昭52.4.1,,
曳舟さくら,京島1－40－1,1509.48,昭53.4.1,,
八広中央,八広3－13－19,2531.93,昭54.4.1,,
たちばな仲よし,立花5－19－2,1520.65,昭54.12.15,,
千歳,千歳2－2－1,1543.95,昭55.1.26,,
平井橋第一,立花6－8－55,2872.92,昭55.4.1,,
平井橋第二,立花6－8－44,1885.78,昭55.4.1,,
東あずま,立花2－32－12,9075.44,昭55.4.1,,
八広,八広5－10－14,5106.65,昭56.4.1,,
緑と花の学習園,文花2－12－17,1457.85,昭56.4.1,,
梅若,堤通2－6－10,1267.32,昭57.7.1,,
なつめ,東向島6－40－2,1149.12,昭46.5.4,,昭59.11.30､児童遊園から
東墨田東,東墨田3－19－2,585.63,昭60.3.1,,
みわさと,八広1－38－13,1132.24,昭60.12.25,,
東墨田第一,東墨田2－1－16,685.27,昭58.10.1,,昭61.4.1､児童遊園から
八広あずま,八広4－19－14,2037.68,昭63.3.26,,
東,東墨田3－12－19,1406.98,平2.3.31,,
きねがわ,東墨田2－25－8,1370.88,平5.3.31,,
立花いこい,立花6－8－34,1979.18,平5.3.31,,
大横川親水,吾妻橋3丁目、業平1丁目、東駒形4丁目、横川1丁目、本所4丁目、太平1丁目、石原4丁目、錦糸1丁目、亀沢4丁目、江東橋1丁目、緑4丁目地先,63973.17,平5.4.1,,
竪川親水,江東橋1･2･4･5丁目地先,11962.46,平5.4.1,,
東墨田二丁目,東墨田2－12－10,1002.15,平9.4.1,,
東墨田,東墨田3－4－14,12528.14,平10.4.1,,
横川さんかく,横川5－9－31,1268.27,平11.4.1,,
立花大正民家園,立花6－13－17,1356.46,平11.7.1,,
白鬚,墨田1－4－42,5001.6,平12.4.1,,
旧中川水辺,東墨田1・3丁目、立花3・5・6丁目地先,62255.9,平23.4.1,,
おしなり公園,押上１丁目、業平１・２・３丁目地先,6646.75,平24.4.1,,
ひきふねどんぐり,京島1-7-3,562.72,平28.4.1,,
