区分,平成24年施設数,平成24年面積[㎡],平成25年施設数,平成25年面積[㎡],平成26年施設数,平成26年面積[㎡],平成27年施設数,平成27年面積[㎡],平成28年施設数,平成28年面積[㎡]
都立公園,3,133593.01,3,133593.01,3,133593.01,3,133593.01,3,133593.01
区立公園(公園),68,603488.05,68,603344.08,68,603344.08,68,603423.71,69,603986.43
区立公園(児童遊園),71,34766.82,71,34965.57,71,34965.57,71,35302.04,71,35302.04
区管理外遊園,2,8759.76,2,8759.76,2,8759.76,2,8759.76,2,8759.76
計,144,780607.64,144,780662.42,144,780662.42,144,781078.52,145,781641.24
区民一人当たり公園面積,3.11,,3.09,,3.05,,3.01,,2.97,
遊び場,22,38484.39,22,38484.39,23,38726.71,23,38726.71,24,38975.03
