区分,平成24年箇所数,平成24年面積[㎡],平成25年箇所数,平成25年面積[㎡],平成26年箇所数,平成26年面積[㎡],平成27年箇所数,平成27年面積[㎡],平成28年箇所数,平成28年面積[㎡]
歩道,35,9296.75,35,9297,35,9310.19,35,9310,35,9310.19
橋台敷,19,2849,18,2773,18,2773.45,18,2773,18,2773.45
道路敷､その他,29,6484.72,30,6594,30,6582.59,30,6583,30,6582.59
計,83,18631,83,18664,83,18666.23,83,18666,83,18666.23
