区分,,,設置数,備考
街路灯,街路灯,水銀灯　Ⅰ型[本],2909,Ⅰ型　水銀灯200～400W、セラメタランプ110～220W
街路灯,街路灯,水銀灯　Ⅱ型[本],3739,Ⅱ型　水銀灯80～100W、セラメタランプ70W
街路灯,街路灯,蛍光灯　Ⅲ型[本],2718,Ⅲ型　蛍光灯20W×2本、インバータ蛍光灯32～57W
街路灯,街路灯,LED[本],849,LED　20W～40W
街路灯,街路灯,ナトリウム灯[本],32,ナトリウム灯90～110W
街路灯,街路灯,その他[本],52,
街路灯,橋梁灯,道路橋灯[本],92,
街路灯,橋梁灯,歩道橋灯[本],2,
街路灯,防犯灯,商店街灯[本],405,現況数（H28年4月１日現在）
街路灯,防犯灯,アーチ[基],4,現況数（H28年4月１日現在）
街路灯,防犯灯,私道灯[基],2921,
道路標識等,案内標識,愛称名（24路線）[本],113,
道路標識等,案内標識,主要地点名[本],316,
道路標識等,案内標識,区名[本],2,
道路標識等,案内標識,方面及び方向[本],31,
道路標識等,警戒標識,学校等あり[本],624,
道路標識等,警戒標識,踏切あり[本],32,
道路標識等,警戒標識,公園・児童遊園[本],95,
道路標識等,警戒標識,道路形状[本],38,
道路標識等,規制標識,最大幅[本],670,
道路標識等,規制標識,高さ制限[本],8,
道路標識等,規制標識,重量制限[本],6,
道路標識等,指示標識,規制予告[本],38,
道路標識等,その他,公共施設案内[本],24,
道路標識等,その他,急カ－ブ注意[本],0,
道路標識等,その他,高さ注意[本],0,
道路標識等,その他,行きどまり[本],0,
その他,歩道上防護柵,ガードレ－ル[m],12915,
その他,歩道上防護柵,ガ－ドパイプ[m],27954,
その他,道路反射鏡[面],,774,
その他,中央分離帯[m],,492,
その他,区画線[m],,157670,
その他,フラッシュアイ[箇所],,78,
その他,視線誘導標[箇所],,3422,
その他,バス停点字ブロック[箇所],,63,
その他,公共施設標示点字ブロック[箇所],,8,
