管理,橋名,位置,橋長[m],有効幅員[m],架設年次,河川,現況
区,一之橋,千歳1－3～両国2－1,36.9,15,昭54.10,竪川,
区,塩原橋,千歳1－9～両国3－1,34.2,11,〃29.3,竪川,
区,千歳橋,千歳2－14～両国4－1,35.4,11.2,〃56.10,竪川,
区,西竪川橋,立川1－18～緑2－1,35.62,11,〃4.11,竪川,
区,竪川橋,立川2－13～緑2－2,31.52,7,〃28.3,竪川,重量制限15.0t
区,新竪川橋,立川2－14～緑3－1,36.3,15,〃4.10,竪川,
区,菊花橋,立川4－19～緑4－2,35.71,8,〃25.3,竪川,
区,新辻橋,江東橋5－11～江東橋1－2,36.37,15,〃5.1,竪川,
区,松本橋,江東橋4－2～毛利2－10,35.52,11,〃4.11,竪川,
区,菊柳橋,菊川3－13～江東橋5－10,26.3,14.8,平28.4,大横川,
区,南辻橋,立川4－14～江東橋5－12,34.62,11.02,昭6.5,大横川,重量制限11.0ｔ
区,清平橋,亀沢4－18～太平1－1,10,8.5,平24.3,大横川,
区,紅葉橋,石原4－28～横川1－1,35.11,11,昭5.6,大横川,
区,横川橋,本所4－8～横川1－15,32.65,22.7,〃3.1,大横川,
区,旅所橋,江東橋4－3～亀戸1－4,42.1,12,〃51.6,横十間川,
区,錦糸橋,錦糸4－10～亀戸2－2,42.04,11,〃47.3,横十間川,
区,栗原橋,横川5－6～亀戸3－13,36.4,14.8,平8.6,横十間川,
区,神明橋,業平5－1～亀戸3－35,38.2,11.00～19.10,昭61.9,横十間川,
区,小梅橋,吾妻橋3－12～向島1－32,26.55,6.5,〃28.9,北十間川,
区,東武橋,業平1－17～押上1－1,19.7,22,〃63.3,北十間川,
区,西十間橋,業平4－18～押上1－48,21,10,平元.7,北十間川,
区,十間橋,業平5－13～文花1－1,19.6,15,昭14.3,北十間川,
区,境橋,文花1－31～亀戸3－51（車道）,車道17.00,8,〃49.11,北十間川,
区,境橋,文花1－31～亀戸3－51（歩道）,歩道23.88,2,〃63.12,北十間川,
区,境橋,文花1－31～亀戸3－51,19.66,2,平12.3,北十間川,
区,平井橋,立花3－29～平井6－17,55.4,9,昭55.5,旧中川,
区,中平井橋,立花5－51～平井7－4,68,13,平20.3,旧中川,
区,桜橋,向島2丁目先～今戸1丁目先,,6,,隅田川,
区,桜橋,向島2丁目先～今戸1丁目先,169.45,19.6,昭60.4,隅田川,台東区管理
区,おしなり橋,業平2－19先～押上1－7先,,10,,北十間川,
区,おしなり橋,業平2－19先～押上1－7先,18.2,13.8,平24．3,北十間川,区管理
区,二之橋,千歳3－18～緑1－1,25.9,25,平10.12,堅川,
区,三之橋,立川3－18～緑4－1,37.07,22,昭49.3,堅川,
区,四之橋,毛利1－21～江東橋4－1,35.3,35.8,〃45.12,堅川,
区,菊川橋,菊川3－12～江東橋5－2,38.2,22.04,〃63.3,大横川,
区,法恩寺橋,石原4－13～太平1－17,15.94,22.6,〃57.11,大横川,
区,業平橋,東駒形4－15～業平1－17,31.7,33,〃5.8,大横川,
区,天神橋,太平4－4～亀戸3－1,38.2,25,〃59.2,横十間川,
区,柳島橋,業平5－7～亀戸3－35,44.9,19,平1.1,横十間川,
区,枕橋,吾妻橋1－24～向島1－2,26.18,18,昭3.11,北十間川,
区,源森橋,吾妻橋2－20～向島1－23,16,34.2,平19.3,北十間川,
区,京成橋,業平3－17～押上1－24,18.75,27.9～34.10,昭37.7,北十間川,
区,福神橋,亀戸3－56～立花1－1,21.3,22,〃58.9,北十間川,
区,小原橋,亀戸8－26～立花3－4,18.4,4,〃40.5,北十間川,架替実施中
区,新小原橋,亀戸8－26～立花3－4,204.02,15.5,〃49.3,北十間川,
区,蔵前橋,蔵前2－3～横網2－6,173.4,22,〃2.11,隅田川,
区,厩橋,蔵前2－15～本所1－36,151.44,24,〃4.9,隅田川,
区,駒形橋,雷門2～東駒形1,146.3,25.2,〃2.5,隅田川,
区,吾妻橋,花川戸1～吾妻橋1－23,132.5,22.6,〃6.6,隅田川,
区,白鬚橋,橋場2－1～堤通2－1,168.8,22,〃6.6,隅田川,
区,水神大橋,南千住8～堤通2,256,17,平1.3,隅田川,
区,綾瀬橋,堤通2－12～千住曙町38,61.26,18,昭36.3,旧綾瀬川,
区,木根川橋,八広6～東四つ木3,531.4,10.5,〃44.12,荒川・綾瀬川,
区,ゆりのき橋,東墨田3-2～平井7-6,88.6,19.2,平13.3,旧中川,
国,江東橋,緑4－23～江東橋1－9,20.8,34.6,平7.7,大横川,
国,松代橋,江東橋4－30～亀戸3－1,39.2,40,昭44.3,横十間川,
国,両国橋,両国1－11～東日本橋2-28,165.46,24,〃7.11,隅田川,
国,言問橋,向島1－3～浅草7－1,161.2,22,〃2.9,隅田川,
国,四ッ木橋,墨田4－62～四つ木3－1,452.75,17,〃27.7,荒川,
国,新四ッ木橋,八広6－5～四つ木1,479.85,16.25,〃47.3,荒川,
