区分,平成24年箇所数,平成24年面積[㎡],平成25年箇所数,平成25年面積[㎡],平成26年箇所数,平成26年面積[㎡],平成27年箇所数,平成27年面積[㎡],平成28年箇所数,平成28年面積[㎡]
公園,31,142783.18,31,142783.18,31,142783.18,31,142783.18,31,142783.18
児童遊園,27,15377.56,27,15377.56,27,15377.56,28,15761.36,28,15761.36
こども広場,6,2737.9,6,2737.9,6,2737.9,6,2737.9,6,2737.9
その他,1,67,1,67,1,67,1,67,1,67
計,65,160965.64,65,160965.64,65,160965.64,66,161349.44,66,161349.44
