区分,平成24年,平成25年,平成26年,平成27年,平成26年,平成28年(国),平成28年(都),平成28年(区),平成28年(計)
すずかけ,3029,2673,2403,1988,400,207,1244,1851,1988
あおぎり,272,236,242,242,0,70,155,225,242
やなぎ,10,10,8,8,0,0,5,5,8
えんじゅ,8,9,6,6,0,6,0,6,6
とうかえで,1215,1215,1219,1201,0,0,1189,1189,1201
いちょう,270,273,273,273,0,214,44,258,273
あめりかふう,154,150,150,150,0,0,149,149,150
まてばしい,180,175,186,195,1,123,62,186,195
はなみずき,402,401,379,381,122,11,239,372,381
その他,2349,2799,3667,4019,37,3132,925,4094,4019
計,7889,7941,8533,8463,560,3763,4012,8335,8463
