,特別区道延長(m),特別区道車道面積(㎡),特別区道歩道面積(㎡),特別区道計面積(㎡),区有通路（路線31本）延長(m),区有通路（路線31本）面積(㎡)
アスファルトコンクリート,249738,1643598,156666,1800264,2225,8115
,(57666),98.2%,62.0%,,,
コンクリート,394,2243,721,2964,,
,(179),0.1%,0.3%,,,
コンクリート平板,,,27706,27706,,
,(10166),,10.9%,,,
コンクリートカラー平板,,,26756,26756,,
,(7149),,10.6%,,,
ブロック舗装,838,3839,37891,41730,11,45
,(10938),0.2%,15.0%,,,
タイル舗装,,,1730,1730,,
,(654),,0.7%,,,
乳剤,1599,7073,1364,8437,74,239
,(460),0.4%,0.5%,,,
砂利道,106,218,,218,,
,,0.1%,,,,
その他,195,17149,,17149,,
,,1%,,,,
計,252870,1674120,252834,1926954,2310,8399
,(87212),,,,,
