,名称,所在地,面積[㎡],開設年月日
こども広場,横川一丁目,横川1－18－11,49.58,昭43.12.4
こども広場,東向島六丁目,東向島6－24－1,271.06,昭60.4.1
こども広場,東向島一丁目,東向島1－4－4,405.73,昭60.10.1
こども広場,立花一丁目,立花1－10－2,221.89,昭54.4.1
こども広場,立花五丁目,立花5－12－13,560.39,昭54.4.1
こども広場,八広三丁目,八広3－24－8,1157.8,昭54.2.24
こども広場,緑二丁目,緑2－7－7,456.14,昭54.3.17
こども広場,立花五丁目第二,立花5－24－3,236.24,昭56.4.1
こども広場,菊川三丁目,菊川3－6－10,382.78,平5.11.1
こども広場,京島三丁目ぐるぐる広場,京島3－45－4,333.21,平12.4.1
こども広場,亀沢四丁目,亀沢4-14-6,283.19,平14.2.20
こども広場,八広四丁目,八広4-42-12,202.3,平16.4.1
こども広場,地蔵坂通り広場,東向島1-15-15,137.81,平18.4.1
こども広場,京島いこい広場,京島1-51-4,231.42,平19.4.1
こども広場,てらじま広場,東向島1-15-13,544.9,平20.4.1
こども広場,中川かわせみ,立花5-50-20,242.32,平26.4.1
その他,東墨田一丁目運動広場,東墨田1－10,15961.43,昭45.10.1
その他,墨田五丁目遊び場,墨田5－16,15622.49,昭56.12.1
その他,緑町公園内遊び場,亀沢2－6,526.4,昭63.5.2
計,,,37827.08,
