名称,所在地,面積[㎡],開設年月日
錦糸四丁目,錦糸4－16,143.01,昭55.7.18
両国二丁目,両国2－20,131,昭56.12.25
千歳二丁目,千歳2－14,170.15,昭57.4.30
文花一丁目,文花1－23,455.47,昭61.12.26
立川二丁目,立川2－14,248.32,平28.4.1
