河川名,管理,区内延長[ｍ],平均幅員[ｍ],護岸延長[ｍ],転落防護柵[ｍ]
荒川,国,3600,450,,
隅田川,都,6360,170,,
旧綾瀬川,区,450,50,405.5,
旧中川,区,2767,70,2691.5,2438.88
北十間川,区,3264,18,4163,2673.2
横十間川,区,1638,41,1335.4,543.4
大横川,区,2514,30,3899.7,1466.3
竪川,区,2677,36,3812.5,1308.3
計,,23270,,16307.6,8430.08
