"実施機関","業務登録票[件]","目的外利用記録票[件]","外部提供記録票[件]"
"区長部局 各総合支所","414","59","154"
"区長部局 産業・地域振興支援部","29","44","51"
"区長部局 保健福祉支援部","51","192","123"
"区長部局 みなと保健所","21","12","104"
"区長部局 子ども家庭支援部","10","9","10"
"区長部局 街づくり支援部","47","40","43"
"区長部局 環境リサイクル支援部","6","2","5"
"区長部局 企画経営部","15","3","4"
"区長部局 防災危機管理室","12","0","3"
"区長部局 総務部","40","22","72"
"区長部局 会計室","2","0","2"
"区長部局 計","647","383","571"
"選挙管理委員会","5","3","13"
"監査委員","3","2","2"
"教育委員会 事務局 教育推進部","32","15","70"
"教育委員会 事務局 学校教育部","21","95","26"
"教育委員会 中学校","50","16","33"
"教育委員会 小学校","90","19","83"
"教育委員会 幼稚園","60","7","24"
"教育委員会 計","253","152","236"
"合計","908","540","822"

"令和元年度港区行政資料集　個人情報取扱業務登録・目的外利用・外部提供の状況","Ver201903",,
