"年度[西暦]","国土利用計画法に基づく届出件数[件]","国土利用計画法に基づく確認件数[件]","公拡法に基づく届出・申出件数[件]"
"2016","94","0","13"
"2017","69","0","18"
"2018","71","0","6"
"2019","59","0","9"
"2020","34","0","6"

"令和3年度港区行政資料集　国土利用計画法、公拡法に基づく届出等","Ver202103",,
