"年月[西暦]","経営・管理[人]","技術・人文知識・国際業務[人]","企業内転勤[人]","留学[人]","家族滞在[人]","その他[人]","合計[人]"
"202408","1051","3476","610","1011","3651","12568","22367"
"202407","1044","3441","607","1051","3556","12511","22210"
"202406","1041","3375","596","1105","3548","12434","22099"
"202405","1047","3369","615","1112","3585","12380","22108"
"202404","1048","3386","596","1126","3566","12326","22048"
"202403","1033","3360","605","1049","3531","12285","21863"
"202402","1017","3285","599","1016","3519","12222","21658"
"202401","1006","3281","593","1015","3514","12121","21530"
"202312","988","3245","576","1005","3426","12038","21278"
"202311","986","3303","606","1031","3428","12016","21370"
"202310","975","3310","605","1028","3418","11933","21269"
"202309","975","3306","588","978","3339","11894","21080"
"202308","967","3266","569","925","3306","11814","20847"
"202307","953","3257","558","956","3189","11737","20650"
"202306","960","3265","555","952","3236","11654","20622"
"202305","963","3215","557","944","3307","11673","20659"
"202304","962","3179","558","965","3275","11583","20522"
"202303","938","3172","557","910","3230","11408","20215"
"202302","924","3096","561","886","3188","11225","19880"
"202301","921","3055","557","889","3135","11081","19638"
"202212","898","3006","541","873","3049","10972","19339"
"202211","913","3035","551","862","3074","11017","19452"
"202210","908","3044","539","840","3066","10925","19322"
"202209","902","3017","511","779","3047","10798","19054"
"202208","896","2969","479","720","2994","10714","18772"
"202207","882","2935","468","715","2806","10671","18477"
"202206","880","2965","460","703","2802","10654","18464"
"202205","867","2931","456","694","2819","10570","18337"
"202204","837","2846","441","677","2696","10504","18001"
"202203","794","2670","394","535","2497","10334","17224"
"202202","779","2641","337","516","2406","10222","16901"
"202201","786","2658","349","516","2434","10206","16949"
"202112","792","2654","364","523","2458","10138","16929"
"202111","818","2730","390","510","2558","10163","17169"
"202110","823","2761","404","511","2582","10193","17274"
"202109","830","2795","417","502","2605","10245","17394"
"202108","830","2845","423","533","2624","10343","17598"
"202107","838","2897","434","541","2677","10374","17761"
"202106","858","2942","464","547","2788","10340","17939"
"202105","871","2997","487","553","2950","10289","18147"
"202104","880","3034","502","565","3003","10228","18212"
"202103","897","3064","522","573","3077","10158","18291"
"202102","928","3120","553","600","3174","10119","18494"
"202101","945","3234","576","592","3265","10128","18740"
"202012","952","3255","590","583","3223","10115","18718"
"202011","983","3321","630","577","3282","10129","18922"
"202010","971","3304","613","528","3187","10119","18722"
"202009","981","3381","639","568","3227","10172","18968"
"202008","993","3440","656","623","3291","10198","19201"
"202007","1034","3548","696","650","3439","10249","19616"
"202006","1060","3628","729","682","3574","10315","19988"
"202005","1085","3698","769","708","3691","10358","20309"
"202004","1097","3748","790","723","3720","10366","20444"
"202003","1106","3780","810","756","3751","10384","20587"
"202002","1120","3761","831","778","3763","10332","20585"
"202001","1112","3769","847","793","3770","10310","20601"
"201912","1095","3677","825","793","3673","10251","20314"
"201911","1121","3751","895","817","3737","10292","20613"
"201910","1127","3791","887","818","3725","10259","20607"
"201909","1115","3750","856","777","3701","10236","20435"
"201908","1115","3746","839","702","3684","10179","20265"
"201907","1116","3755","837","754","3602","10142","20206"
"201906","1122","3751","843","764","3690","10088","20258"
"201905","1148","3745","830","788","3819","10098","20428"
"201904","1140","3743","834","808","3790","10071","20386"
"201903","1142","3712","836","794","3757","10036","20277"
"201902","1138","3632","859","823","3780","10014","20246"
"201901","1133","3617","836","838","3777","10030","20231"
"201812","1121","3567","803","836","3730","10000","20057"
"201811","1148","3631","846","850","3741","10018","20234"
"201810","1151","3609","842","863","3698","10027","20190"
"201809","1145","3568","837","840","3636","9981","20007"
"201808","1151","3565","847","784","3608","9904","19859"
"201807","1137","3589","848","843","3508","9919","19844"
"201806","1138","3599","869","883","3587","10006","20082"
"201805","1148","3595","889","864","3679","9994","20169"
"201804","1130","3602","875","891","3672","9960","20130"
"201803","1119","3573","860","846","3654","9920","19972"
"201802","1115","3539","866","848","3658","9887","19913"
"201801","1118","3553","871","850","3652","9830","19874"
"201712","1103","3492","879","827","3571","9650","19522"
"201711","1117","3537","920","843","3580","9726","19723"
"201710","1117","3515","930","847","3564","9714","19687"
"201709","1105","3504","935","826","3534","9690","19594"
"201708","1101","3463","949","764","3525","9648","19450"
"201707","1092","3456","969","821","3377","9569","19284"
"201706","1088","3466","989","833","3420","9566","19362"
"201705","1087","3491","1001","836","3549","9579","19543"
"201704","1084","3459","995","848","3542","9547","19475"
"201703","1081","3439","983","802","3503","9551","19359"
"201702","1061","3380","995","803","3489","9540","19268"
"201701","1055","3333","968","834","3486","9510","19186"
"201612","1044","3281","938","827","3410","9492","18992"
"201611","1060","3349","962","845","3475","9563","19524"
"201610","1053","3342","976","869","3405","9546","19191"
"201609","1051","3337","983","854","3393","9531","19149"
"201608","1062","3297","996","821","3317","9498","18991"
"201607","1038","3274","994","873","3166","9433","18778"
"201606","1045","3261","997","902","3277","9488","18970"
"201605","1050","3263","1018","920","3426","9526","19203"
"201604","1048","3219","1017","944","3392","9502","19122"
"201603","1049","3194","1022","872","3357","9455","18949"
"201602","1049","3131","1036","927","3357","9391","18891"
"201601","1040","3112","1042","929","3364","9341","18828"
"201512","1033","3084","1014","885","3275","9195","18486"
"201511","1060","3146","1089","899","3360","9264","18818"
"201510","1078","3145","1090","900","3357","9270","18840"
"201509","1069","3128","1102","858","3363","9267","18787"
"201508","1063","3072","1106","839","3352","9276","18708"
"201507","1046","3097","1102","887","3226","9276","18634"
"201506","1032","3104","1116","903","3259","9252","18666"
"201505","1039","3121","1140","926","3414","9269","18909"
"201504","1026","3103","1143","932","3402","9228","18834"

"在留資格別外国人住民数 平成28年度以降","Ver202409",,,,,,
