【比較表】,選定時比率等,選定時得点,28年度比率等,28年度得点,ランク比較
経営資本営業利益率（%）,6.18,5,5.13,4,下回
経営資本回転率（回）,0.25,1,0.26,1,同等
売上高営業利益率（%）,24.27,5,19.91,5,同等
流動比率（%）,264.53,5,375.56,5,同等
自己資本比率（%）,54,4,60.68,5,上回
固定資産長期資本比率（%）,74.06,4,72.26,4,同等
