沿岸区分,所管区分,占用区分,占用場所の区分,占用料金単位,占用料金金額(円)
東京湾沿岸,港湾管理者が管理する区域,土地の占用又は施設の占用,全区域,１平方メートル当たり月額,190
東京湾沿岸,港湾管理者が管理する区域,上空の占用又は地下埋設片の設置のための占用,全区域,１平方メートル当たり月額,90
東京湾沿岸,その他の区域,土地の占用又は施設の占用,全区域,１平方メートル当たり月額,60
東京湾沿岸,その他の区域,上空の占用又は地下埋設片の設置のための占用,全区域,１平方メートル当たり月額,31
伊豆諸島及び小笠原諸島沿岸,港湾管理者又は漁港管理者が管理する区域,土地の占用又は施設の占用,全区域,１平方メートル当たり月額,10
伊豆諸島及び小笠原諸島沿岸,港湾管理者又は漁港管理者が管理する区域,上空の占用又は地下埋設片の設置のための占用,全区域,１平方メートル当たり月額,5
伊豆諸島及び小笠原諸島沿岸,その他の区域,土地の占用又は施設の占用,第１区域東京都大島支庁所管区域,１平方メートル当たり月額,10
伊豆諸島及び小笠原諸島沿岸,その他の区域,土地の占用又は施設の占用,第２区域東京都三宅支庁、八丈支庁及び小笠原支庁所管区域,１平方メートル当たり月額,10
伊豆諸島及び小笠原諸島沿岸,その他の区域,上空の占用又は地下埋設片の設置のための占用,第１区域東京都大島支庁所管区域,１平方メートル当たり月額,5
伊豆諸島及び小笠原諸島沿岸,その他の区域,上空の占用又は地下埋設片の設置のための占用,第２区域東京都三宅支庁、八丈支庁及び小笠原支庁所管区域,１平方メートル当たり月額,5
