年度,29～33／29,29～33／30,29～33／31,29～33／32,29～33／33,29～33／(小計）,34～38(5年間）,39～43(5年間）,合計(29～43)(15年間）
廃棄物一般廃棄物(万ｔ),275,274,275,275,275,1374,1374,1368,4116
廃棄物産業廃棄物(万ｔ),650,660,669,678,685,3342,3465,3465,10272
廃棄物都市施設廃棄物(万ｔ),162,164,166,168,170,830,882,890,2602
廃棄物都市施設廃棄物上水スラッジ(万ｔ),8,8,8,8,8,40,40,40,120
廃棄物都市施設廃棄物下水汚泥(万ｔ),154,156,158,160,162,790,842,850,2482
計(万ｔ),1087,1098,1110,1121,1130,5546,5721,5723,16990
