年次,月,入港日,船名,総ﾄﾝ数(ｔ),総乗客定員(人)
2010,1,3/6,オーシャン・プリンセス,30277,802
2010,2,8/1,ザオーシャニック,38772,1550
2010,3,9/29,シルバー・シャドー,28258,423
2012,1,3/12,ﾊﾟｼﾌｨｯｸ･ﾌﾟﾘﾝｾｽ,30277,802
2012,2,4/25,シルバー・シャドー,28258,423
2012,3,5/17,シルバー・シャドー,28258,423
2012,4,8/1,クラブ・ハーモニー,25558,1000
2012,5,8/16,クラブ・ハーモニー,25558,1000
2012,6,9/23,シルバー・シャドー,28258,423
2012,7,10/12,シルバー・シャドー,28258,423
2013,1,4/27,ボイジャー・オブ・ザ・シーズ,137276,3840
2013,2,5/3,ボイジャー・オブ・ザ・シーズ,137276,3840
2013,3,5/6,シルバー・シャドー,28258,423
2013,4,7/17,オーシャン・ドリーム,35265,1422
2013,5,9/14,ﾎﾞｲｼﾞｬｰ･ｵﾌﾞ･ｻﾞ･ｼｰｽﾞ,137276,3840
2013,6,9/29,シルバー・シャドー,28258,423
2013,7,10/19,シルバー・シャドー,28258,423
2013,8,11/18,オーシャン・ドリーム,35265,1422
2014,1,2/3,ボイジャー,15271,550
2014,2,2/25,アザマラ・ジャーニー,30277,777
2014,3,3/7,オーシャン・ドリーム,35265,1422
2014,4,4/20,ﾎﾞｲｼﾞｬｰ･ｵﾌﾞ･ｻﾞ･ｼｰｽﾞ,137276,3840
2014,5,4/26,ﾎﾞｲｼﾞｬｰ･ｵﾌﾞ･ｻﾞ･ｼｰｽﾞ,137276,3840
2014,6,4/30,ｸﾘｽﾀﾙ･ｼﾝﾌｫﾆｰ,51044,922
2014,7,5/2,シルバー・シャドー,28258,423
2014,8,5/5,ﾎﾞｲｼﾞｬｰ･ｵﾌﾞ･ｻﾞ･ｼｰｽﾞ,137276,3840
2014,9,6/28,オーシャン・ドリーム,35265,1422
2014,10,7/7,オーシャン・ドリーム,35265,1422
2014,11,9/27,ｾﾚﾌﾞﾘﾃｨ･ﾐﾚﾆｱﾑ,90288,2368
2014,12,10/5,アムステルダム,62735,1653
2014,13,10/25,オーシャン・ドリーム,35265,1422
