,29～33年度,34～38年度,39～43年度,合計
排出予測量(万ｔ),3342,3465,3465,10272
要埋立処分量(万ｔ),180,187,187,554
受入埋立処分量(万ｔ),45,45,45,135
受入埋立処分量(万ｍ3),(45),(45),(45),(135)
