ランク表,算出結果範囲ランク,算出結果範囲ランク,算出結果範囲ランク,算出結果範囲ランク,ランク,,,,,,,
経営資本営業利益率,～2.5,2.5～3.5,3.5～4.5,4.5～5.5,5.5～,,,,,,,
経営資本営業利益率,1,2,3,4,5,,,,,,,
経営資本回転率,～0.5,0.5～0.8,0.8～1.2,1.1～2.2,2.2～,,,,,,,
経営資本回転率,1,2,3,4,5,,,,,,,
売上営業利益率,～2.5,2.5～3.5,3.5～4.5,4.5～5.5,5.5～,,,,,,,
売上営業利益率,1,2,3,4,5,,,,,,,
流動比率,～70,70～90,90～120,120～200,200～,,,,,,,
流動比率,1,2,3,4,5,,,,,,,
自己資本比率,～25,25～35,35～45,45～55,55～,,,,,,,
自己資本比率,1,2,3,4,5,,,,,,,
固定資産長期資本比率,95～,95～85,85～75,75＾～65,65～,,,,,,,
固定資産長期資本比率,1,2,3,4,5,,,,,,,
