年度,29～33/29,29～33/30,29～33/31,29～33/32,29～33/33,29～33/(小計）,34～38(5年間）,39～43(5年間）,合計(29～43)(15年間）
廃棄物(左側万ｍ3、右側(）内万ｔ),44(62),43(60),43(60),41(58),41(57),212(297),194(269),175(235),581(801)
廃棄物一般廃棄物(左側万ｍ3、右側(）内万ｔ),18(33),18(32),18(32),17(31),17(30),88(158),74(134),55(100),217(392)
廃棄物産業廃棄物(左側万ｍ3、右側(）内万ｔ),9(9),9(9),9(9),9(9),9(9),45(45),45(45),45(45),135(135)
廃棄物都市施設廃棄物(左側万ｍ3、右側(）内万ｔ),17(20),16(19),16(19),15(18),15(18),79(94),75(90),75(90),229(274)
廃棄物都市施設廃棄物上水スラッジ(左側万ｍ3、右側(）内万ｔ),4(4),3(3),3(3),2(2),2(2),14(14),10(10),10(10),34(34)
廃棄物都市施設廃棄物下水汚泥(左側万ｍ3、右側(）内万ｔ),13(16),13(16),13(16),13(16),13(16),65(80),65(80),65(80),195(240)
覆土材等(左側万ｍ3、右側(）内万ｔ),9(16),9(16),9(16),8(14),8(14),43(76),39(70),35(63),117(209)
小計(左側万ｍ3、右側(）内万ｔ),53(78),52(76),52(76),49(72),49(71),255(373),233(339),210(298),"698(1,010)"
しゅんせつ土(左側万ｍ3、右側(）内万ｔ),92(129),91(127),90(126),91(127),90(126),454(635),442(619),427(598),"1,323(1,852)"
しゅんせつ土河川しゅんせつ土(左側万ｍ3、右側(）内万ｔ),27(38),26(36),25(35),26(36),25(35),129(180),127(178),127(178),383(536)
しゅんせつ土港湾しゅんせつ土(左側万ｍ3、右側(）内万ｔ),65(91),65(91),65(91),65(91),65(91),325(455),315(441),300(420),"940(1,316)"
建設発生土等(左側万ｍ3、右側(）内万ｔ),70(126),40(72),30(54),30(54),30(54),200(360),190(342),180(324),"570(1,026)"
小計(左側万ｍ3、右側(）内万ｔ),162(255),131(199),120(180),121(181),120(180),654(995),632(961),607(922),"1,893(2,878)"
合計(左側万ｍ3、右側(）内万ｔ),215(333),183(275),172(256),170(253),169(251),"909(1,368)","865(1,300)","817(1,220)","2,591(3,888)"
