,H29～H33,H34～H38年度（5年ごと）,H39～H43
建設発生土等,,,
港湾しゅんせつ土,,,
河川しゅんせつ土,,,
覆土材等,,,
都市施設廃棄物,,,
産業廃棄物,,,
一般廃棄物,,,
合計,909,865,817
