,2013年（平成25年）,2020年目標(平成32年),2028年目標(平成40年),備考
東京港利用客数（万人）,3.3,21,50.2,
日本籍船（回）,38,38,92,2013年に「ふじ丸」引退
外国籍船（回）,8,75,188,
合計（回）,46,113,280,
