,取扱量(千トン)（Unit:1000tons）,構成比率(%)
輸出,13289,
輸出再利用資材ReusableMaterial,2173,16.4
輸出産業機械IndutrialMachines,1953,14.7
輸出その他化学工業品OtherChemicalIndustry,1823,13.7
輸出自動車部品AutoParts,1610,12.1
輸出電気機械ElectricalEquipment,744,5.6
輸出金属くずScrapMetal,536,4.0
輸出ゴム製品RubberProducts,355,2.7
輸出金属製品MetalProducts,343,2.6
輸出化学薬品Chemical,294,2.2
輸出鋼材Chemical,286,2.1
輸出その他Others,3172,23.9
輸入Import,36537,
"輸入衣服・身回品・はきものClothing,personalbelongingandfootwear",4704,12.9
輸入電気機械Electricalewuipment,3212,8.8
輸入製造食品ProducessedFood,2557,7.0
輸入その他化学工業品OtherChemicalIndustryProducts,2314,6.3
輸入家具家電FurnitureandEquioment,2050,5.2
輸入野菜・果物FruitandVegetables,1891,5.2
輸入その畜産品OthersLivestockProducts,1671,4.6
輸入産業機械IndutrialMachines,1556,4.3
輸出金属製品MetalProducts,1451,4.0
輸出木製品WoodenProducts,1170,3.2
外国輸出入貨物ForeignTradeCargo,49826,
移出Outbound,15751,
移出完成自動車Car,7995,50.8
移出完成自動車Car内カーフェリーDomesticCarFerry,5676,36.0
移出取合せ品Combined,2991,19.0
移出廃土砂WasteSoil,1634,10.4
移出再利用資源ReusableMaterial,301,1.9
移出飲料Drink,290,1.8
移出重油HeavyOil,243,1.5
移出紙・パルプPaper&Pulp,231,1.5
移出その他日用品OthersDailyNecessities,208,1.3
移出製造食品ProcessedFood,199,1.3
移出産業機械IndutrialMachines,177,1.1
移入Inbound,25966,
移入完成自動車Car,6024,23.2
移入完成自動車Car内カーフェリーDomesticCarFerry,5193,20.0
移入その他の石油OilPruducts,4433,17.1
"移入砂利・砂Sand,Gravel",4401,16.9
移入セメントCement,2821,10.9
移入取合せ品Combined,2333,9.0
移入紙・パルプPaper&Pulp,1447,5.6
移入鋼材Steel&Iron,1139,4.4
移入石材Stone,1053,4.1
移入石灰石Limestone,361,1.4
移入重油HeavyOil,261,1.0
国内移出入貨物,41718,
