年度,29～33／29,29～33／30,29～33／31,29～33／32,29～33／33,29～33／(小計）,34～38(5年間）,39～43(5年間）,合計(29～43)(15年間）
しゅんせつ土(万ｍ3),187,186,185,186,185,929,827,687,2443
しゅんせつ土河川しゅんせつ土(万ｍ3),28,27,26,27,26,134,132,132,398
しゅんせつ土港湾しゅんせつ土(万ｍ3),159,159,159,159,159,795,695,555,2045
建設発生土等(万ｍ3),465,432,416,435,447,2195,2207,2070,6472
計(万ｍ3),652,618,601,621,632,3124,3034,2757,8915
