港湾区分,占用区分,占用場所の区分,占用料単位,占用料金額(円)
東京港,いかだ係留のための占用,港湾区域,１平方メートル当たり月額,28
東京港,飲食店その他の通常陸上に設置される施設を水域に設置するための占用,港湾区域,１平方メートル当たり月額,Aに0.000625を乗じて得た額(当該額が127円未満の場合は127円)
東京港,桟橋、起重機、船舶の係留等のための占用,港湾区域,１平方メートル当たり月額,127
東京港,桟橋、起重機、船舶の係留等のための占用,港湾隣接地域内の公共空地,１平方メートル当たり月額,190
東京港,上空の占用又は地下埋設片設置のための占用,港湾区域,１平方メートル当たり月額,60
東京港,上空の占用又は地下埋設片設置のための占用,港湾隣接地域内の公共空地,１平方メートル当たり月額,90
その他の港湾,桟橋、起重機、船舶の係留等のための占用,港湾区域及び港湾隣接地域内の公共空地,１平方メートル当たり月額,10
その他の港湾,上空の占用又は地下埋設片設置のための占用,港湾区域及び港湾隣接地域内の公共空地,１平方メートル当たり月額,5
