,構成比率（％）,取扱量(千トン)
出貨Outbound,14.5,29040
出貨Outbound外国輸出Export,31.7,13289
出貨Outbound国内移出DomcsticOutbound,17.2,15751
入貨Inbound,39.9,36537
入貨Inbound国内移入DomesticInbound,28.4,25966
入貨Inbound外国輸入Import,39.9,36537
総取扱貨物量CargoVolume,,91543
