,29～33年度,34～38年度,39～43年度,合計
一般廃棄物量(万ｔ),1374,1374,1368,4116
埋立処分量(万ｔ),158,134,100,392
埋立処分量（万ｍ3),（88）,（74）,（55）,（217）
